2017-12-08,SM801.CZC,jd1805.dce,ZC801.CZC,rb1805.shf,MA801.CZC,SF801.CZC
2017-12-18,SM801.CZC,jd1805.dce,ZC801.CZC,rb1805.shf,MA805.CZC,SF805.CZC
2017-12-20,hc1805.shf,SM801.CZC,ZC805.CZC,MA805.CZC,SF805.CZC,j1805.dce
2017-12-22,SM805.CZC,jd1805.dce,ZC805.CZC,MA805.CZC,SF805.CZC,j1805.dce
2017-12-27,hc1805.shf,SM805.CZC,ZC805.CZC,MA805.CZC,SF805.CZC,j1805.dce
2018-01-03,jm1805.dce,SM805.CZC,ZC805.CZC,rb1805.shf,MA805.CZC,SF805.CZC
2018-01-08,jm1805.dce,hc1805.shf,ZC805.CZC,rb1805.shf,MA805.CZC,j1805.dce
2018-01-09,jm1805.dce,SM805.CZC,ZC805.CZC,rb1805.shf,MA805.CZC,SF805.CZC
2018-01-10,jm1805.dce,SM805.CZC,ZC805.CZC,rb1805.shf,MA805.CZC,j1805.dce
2018-01-17,hc1805.shf,SM805.CZC,ZC805.CZC,rb1805.shf,MA805.CZC,SF805.CZC
2018-01-23,SM805.CZC,ZC805.CZC,rb1805.shf,MA805.CZC,SF805.CZC,j1805.dce
2018-02-02,jm1805.dce,hc1805.shf,SM805.CZC,ZC805.CZC,rb1805.shf,j1805.dce
2018-02-12,jm1805.dce,SM805.CZC,c1805.dce,rb1805.shf,MA805.CZC,j1805.dce
