2013-01-14 00:00:00,RM1305.CZC,2541.0,2013-01-21 00:00:00,RM1305.CZC,2573.0,0.012593467138921684
2013-02-18 00:00:00,RM1309.CZC,2562.854662898668,2013-03-11 00:00:00,RM1309.CZC,2527.6192975373438,-0.013748483623129753
2013-03-18 00:00:00,RM1309.CZC,2514.1469519580137,2013-03-25 00:00:00,RM1309.CZC,2496.529269277352,-0.007007419620774823
2013-04-10 00:00:00,RM1309.CZC,2457.148566814695,2013-04-24 00:00:00,RM1309.CZC,2429.1675413807025,-0.011387600168705185
2013-05-20 00:00:00,RM1309.CZC,2477.8752523213566,2013-05-27 00:00:00,RM1401.CZC,2493.148234754605,0.006163741463150727
2013-11-04 00:00:00,RM1401.CZC,2815.7773430554093,2013-11-11 00:00:00,RM1405.CZC,2749.8638693165353,-0.02340862422997945
2013-11-25 00:00:00,RM1405.CZC,2740.7545894181785,2013-12-23 00:00:00,RM1405.CZC,2862.591208058704,0.04445367677606978
2013-12-30 00:00:00,RM1405.CZC,2953.6840070422745,2014-02-18 00:00:00,RM1409.CZC,3227.9640710328445,0.09286032742047627
2014-02-25 00:00:00,RM1409.CZC,3238.1872351532966,2014-03-18 00:00:00,RM1409.CZC,3184.5156235209215,-0.01657458563535911
2014-03-25 00:00:00,RM1409.CZC,3288.0251602405024,2014-05-30 00:00:00,RM1409.CZC,3928.2508132838334,0.19471434123591128
2014-06-16 00:00:00,RM1409.CZC,3962.7539921903603,2014-06-23 00:00:00,RM1409.CZC,3925.6950222537207,-0.00935182199290544
2014-06-30 00:00:00,RM1409.CZC,3949.975037039795,2014-07-07 00:00:00,RM1409.CZC,3727.6212174199554,-0.05629246198641217
2014-09-16 00:00:00,RM1501.CZC,3325.271583416987,2014-09-23 00:00:00,RM1501.CZC,3229.917869372713,-0.02867546654528902
2014-10-14 00:00:00,RM1501.CZC,3298.027665118623,2014-10-28 00:00:00,RM1501.CZC,3455.4369708425043,0.04772831574116568
2014-11-11 00:00:00,RM1505.CZC,3502.357052356353,2014-11-18 00:00:00,RM1505.CZC,3468.4732110406803,-0.00967458223394899
2014-11-25 00:00:00,RM1505.CZC,3448.450941172328,2014-12-16 00:00:00,RM1505.CZC,3551.642639724604,0.029924073246985317
2014-12-30 00:00:00,RM1505.CZC,3520.839147619447,2015-01-15 00:00:00,RM1505.CZC,3317.5360997254106,-0.057742782152230984
2015-01-22 00:00:00,RM1505.CZC,3314.455750514895,2015-03-05 00:00:00,RM1509.CZC,3538.2703002107187,0.06752678766673968
2015-03-12 00:00:00,RM1509.CZC,3694.5346036900564,2015-03-19 00:00:00,RM1509.CZC,3554.215637300447,-0.03798014674147611
2015-04-02 00:00:00,RM1509.CZC,3598.8625811516863,2015-04-10 00:00:00,RM1509.CZC,3399.545867530082,-0.0553832521045636
2015-04-17 00:00:00,RM1509.CZC,3458.5436147620767,2015-05-04 00:00:00,RM1509.CZC,3560.5937721363384,0.02950668510834497
2015-05-11 00:00:00,RM1509.CZC,3579.7281766440124,2015-05-18 00:00:00,RM1509.CZC,3480.8670866876964,-0.02761692650334082
2015-06-08 00:00:00,RM1509.CZC,3337.3590528801415,2015-06-15 00:00:00,RM1509.CZC,3205.0127550353964,-0.03965599617773527
2015-06-23 00:00:00,RM1509.CZC,3334.1699854621957,2015-06-30 00:00:00,RM1509.CZC,3267.199569685337,-0.02008608321377324
2015-07-07 00:00:00,RM1509.CZC,3549.4320361735286,2015-07-21 00:00:00,RM1509.CZC,3629.15872162217,0.02246181491464506
2015-12-31 00:00:00,RM1605.CZC,3074.630515501009,2016-01-22 00:00:00,RM1605.CZC,3149.9733904898244,0.024504692387904124
2016-03-25 00:00:00,RM609.CZC,3191.666643512248,2016-04-01 00:00:00,RM609.CZC,3086.9698251862997,-0.03280318091451284
2016-04-11 00:00:00,RM609.CZC,3147.249811495179,2016-04-25 00:00:00,RM609.CZC,3393.12870301824,0.07812499999999994
2016-05-03 00:00:00,RM609.CZC,3537.4834070737143,2016-05-24 00:00:00,RM609.CZC,3583.486554519964,0.013004484304932663
2016-05-31 00:00:00,RM609.CZC,3848.4012311931974,2016-06-23 00:00:00,RM609.CZC,4179.941155892035,0.0861500412201155
