2010-04-20 00:00:00,AU1012.SHF,245.6151592626103,2010-04-27 00:00:00,AU1012.SHF,248.86302770070273,-0.01322340383160079
2011-06-09 00:00:00,AU1112.SHF,310.30484690768185,2011-06-16 00:00:00,AU1112.SHF,309.47801581090584,0.002664576802507997
2011-12-30 00:00:00,AU1206.SHF,311.19794822321705,2012-01-10 00:00:00,AU1206.SHF,323.61858944984414,-0.03991234935044612
2012-07-04 00:00:00,AU1212.SHF,322.18984130136596,2012-07-11 00:00:00,AU1212.SHF,315.2298447295993,0.0216021602160216
2012-11-21 00:00:00,AU1306.SHF,337.29653053647553,2012-11-28 00:00:00,AU1306.SHF,339.81989812376304,-0.007481154885506984
2013-04-10 00:00:00,AU1306.SHF,307.2655778816848,2013-04-17 00:00:00,AU1306.SHF,263.93657398742437,0.14101483216237334
2013-05-13 00:00:00,AU1312.SHF,270.6738466557713,2013-05-20 00:00:00,AU1312.SHF,255.56739541649566,0.05581053147882151
2013-06-20 00:00:00,AU1312.SHF,253.1397422355449,2013-06-27 00:00:00,AU1312.SHF,237.54965696412677,0.061586873454708896
2013-11-25 00:00:00,AU1406.SHF,232.51527301083888,2013-12-02 00:00:00,AU1406.SHF,235.82678249420792,-0.014242115971515848
2014-05-09 00:00:00,AU1412.SHF,241.81730779459693,2014-05-16 00:00:00,AU1412.SHF,242.32894279858627,-0.002115791498365082
2014-07-07 00:00:00,AU1412.SHF,244.56153190690335,2014-07-14 00:00:00,AU1412.SHF,245.8638755534217,-0.005325218714340211
2014-08-25 00:00:00,AU1412.SHF,236.79398230088344,2014-09-01 00:00:00,AU1412.SHF,238.2823750397615,-0.006285602042820557
2014-09-16 00:00:00,AU1412.SHF,229.25899406031317,2014-09-23 00:00:00,AU1412.SHF,224.9333526629488,0.018867924528301733
2014-09-30 00:00:00,AU1412.SHF,225.9101103978375,2014-10-14 00:00:00,AU1412.SHF,227.81711359452507,-0.008441424747786804
2014-10-28 00:00:00,AU1412.SHF,225.6310367592979,2014-11-18 00:00:00,AU1506.SHF,221.76936107111422,0.017115002189629157
2015-04-24 00:00:00,AU1506.SHF,224.44694073242613,2015-05-04 00:00:00,AU1506.SHF,223.1786135244363,0.005650899958141442
2015-05-11 00:00:00,AU1512.SHF,222.2280708610306,2015-05-18 00:00:00,AU1512.SHF,229.64642446016512,-0.03338171262699552
2015-06-01 00:00:00,AU1512.SHF,221.6751500958777,2015-06-08 00:00:00,AU1512.SHF,219.0487764614015,0.0118478486801081
2015-07-21 00:00:00,AU1512.SHF,205.5482944455852,2015-07-28 00:00:00,AU1512.SHF,204.35029945442062,0.005828289621161205
2015-08-04 00:00:00,AU1512.SHF,202.09253966337968,2015-08-11 00:00:00,AU1512.SHF,208.5432819234967,-0.031919744642042926
2015-09-01 00:00:00,AU1512.SHF,218.17331858324278,2015-09-17 00:00:00,AU1512.SHF,213.74995246201968,0.020274551214361197
2015-10-08 00:00:00,AU1512.SHF,216.4684795573547,2015-10-15 00:00:00,AU1512.SHF,222.68883816532468,-0.028735632183908146
2015-10-29 00:00:00,AU1512.SHF,219.0948531918309,2015-11-19 00:00:00,AU1606.SHF,204.51642112901962,0.06653936343290995
2015-11-26 00:00:00,AU1606.SHF,203.74173771565214,2015-12-10 00:00:00,AU1606.SHF,205.70123105534637,-0.00961753522701843
2015-12-17 00:00:00,AU1606.SHF,205.83793989299946,2015-12-24 00:00:00,AU1606.SHF,207.7518636201427,-0.009298206774407843
2015-12-31 00:00:00,AU1606.SHF,206.0202183432036,2016-01-08 00:00:00,AU1606.SHF,215.8176850416749,-0.047555850475558534
2016-01-15 00:00:00,AU1606.SHF,211.98983758738842,2016-01-29 00:00:00,AU1606.SHF,217.18477341820576,-0.024505588993981083
2016-02-19 00:00:00,AU1606.SHF,235.13920076331132,2016-02-26 00:00:00,AU1606.SHF,238.6480609297406,-0.01492248062015516
2016-03-04 00:00:00,AU1606.SHF,242.0657818710678,2016-03-11 00:00:00,AU1606.SHF,242.20249070872086,-0.0005647590361444639
2016-07-21 00:00:00,AU1612.SHF,252.3271136179273,2016-07-28 00:00:00,AU1612.SHF,256.4498159310803,-0.016338721011946392
2016-10-17 00:00:00,AU1612.SHF,242.66314475483728,2016-10-31 00:00:00,AU1612.SHF,247.9384305103772,-0.02173913043478255
2016-11-14 00:00:00,AU1706.SHF,240.03938283265504,2016-11-21 00:00:00,AU1706.SHF,242.3258909673497,-0.009525554130793238
2016-12-05 00:00:00,AU1706.SHF,236.34579276891753,2016-12-12 00:00:00,AU1706.SHF,235.6422518043961,0.0029767441860465466
2017-01-24 00:00:00,AU1706.SHF,239.511727109264,2017-02-07 00:00:00,AU1706.SHF,243.1613458627189,-0.015237745548007973
2017-04-06 00:00:00,AU1706.SHF,247.33862033956487,2017-04-13 00:00:00,AU1706.SHF,252.5272349529104,-0.020977777777777706
2017-06-27 00:00:00,AU1712.SHF,242.83560172553808,2017-07-04 00:00:00,AU1712.SHF,236.92550118246848,0.024337866857551724
2017-07-18 00:00:00,AU1712.SHF,237.88154685855324,2017-07-25 00:00:00,AU1712.SHF,240.57585740024678,-0.011326269638290202
2017-09-05 00:00:00,AU1712.SHF,246.5294145649566,2017-09-12 00:00:00,AU1712.SHF,244.31312686130553,0.0089899524061341
2017-09-19 00:00:00,AU1712.SHF,243.18325469865985,2017-09-26 00:00:00,AU1712.SHF,244.92151956426858,-0.007147962830593312
