2011-05-04 00:00:00,M1201.DCE,3359.003123118765,2011-05-18 00:00:00,M1201.DCE,3312.490737910016,0.013847080072245735
2011-09-08 00:00:00,M1205.DCE,3339.0348492350427,2011-09-30 00:00:00,M1205.DCE,2999.488761690536,0.1016898903053662
2011-11-11 00:00:00,M1205.DCE,2860.898521876452,2011-11-18 00:00:00,M1205.DCE,2834.1704041980215,0.009342560553633179
2011-12-09 00:00:00,M1205.DCE,2766.8551448597523,2011-12-16 00:00:00,M1205.DCE,2763.885354006593,0.0010733452593919125
2011-12-23 00:00:00,M1209.DCE,2827.904300984288,2011-12-30 00:00:00,M1209.DCE,2885.596677802432,-0.020401106500691536
2012-01-10 00:00:00,M1209.DCE,2916.887458449561,2012-01-17 00:00:00,M1209.DCE,2844.5275282030752,0.02480724103251758
2012-01-31 00:00:00,M1209.DCE,2877.77398264065,2012-02-07 00:00:00,M1209.DCE,2948.17823909669,-0.024464831804281217
2012-03-13 00:00:00,M1209.DCE,3115.388348179786,2012-03-20 00:00:00,M1209.DCE,3099.7429578562214,0.005021971123666094
2015-03-05 00:00:00,M1509.DCE,7651.717828263116,2015-03-12 00:00:00,M1509.DCE,7811.300580524627,-0.020855807263574305
2015-03-26 00:00:00,M1509.DCE,7648.966401499986,2015-04-02 00:00:00,M1509.DCE,7698.492083236318,-0.006474820143884982
2015-04-10 00:00:00,M1509.DCE,7379.326578713296,2015-05-11 00:00:00,M1509.DCE,7519.6493436329,-0.01901565995525729
2015-05-18 00:00:00,M1509.DCE,7349.060884318872,2015-06-08 00:00:00,M1509.DCE,7018.889672743333,0.044926993635342576
2015-07-21 00:00:00,M1509.DCE,7426.100833686498,2015-07-28 00:00:00,M1601.DCE,7156.497604282351,0.03630481667864848
2015-11-26 00:00:00,M1605.DCE,6494.909132322413,2015-12-24 00:00:00,M1605.DCE,6541.595582745027,-0.007188160676532863
2016-03-04 00:00:00,M1609.DCE,6471.513671698844,2016-03-25 00:00:00,M1609.DCE,6660.300857316828,-0.029172029172029205
2016-04-01 00:00:00,M1609.DCE,6496.500210971812,2016-04-18 00:00:00,M1609.DCE,6993.454714289741,-0.07649572649572652
2016-04-25 00:00:00,M1609.DCE,7137.82138564467,2016-05-03 00:00:00,M1609.DCE,7557.039989002254,-0.05873201089070412
2016-05-24 00:00:00,M1609.DCE,7570.921399709458,2016-05-31 00:00:00,M1609.DCE,8134.506674421969,-0.07444077741107444
2017-01-03 00:00:00,M1705.DCE,8015.428766129834,2017-01-10 00:00:00,M1705.DCE,8029.881396432988,-0.0018031013342948922
2017-03-28 00:00:00,M1709.DCE,7984.069966065678,2017-04-13 00:00:00,M1709.DCE,8083.835210197167,-0.01249553730810428
2017-05-12 00:00:00,M1709.DCE,7958.416046146152,2017-05-19 00:00:00,M1709.DCE,7801.642091082385,0.0196991404011461
2017-05-26 00:00:00,M1709.DCE,7696.175975857669,2017-06-06 00:00:00,M1709.DCE,7553.654198526971,0.018518518518518528
2017-06-13 00:00:00,M1709.DCE,7590.709860632953,2017-06-20 00:00:00,M1709.DCE,7727.530766870423,-0.01802478407810743
2017-06-27 00:00:00,M1709.DCE,7590.709860632953,2017-07-04 00:00:00,M1709.DCE,7975.518659425837,-0.05069470521967711
2017-07-18 00:00:00,M1709.DCE,8049.629983637799,2017-07-25 00:00:00,M1801.DCE,7995.471708252134,0.006728045325779095
