日期,近月价格,主力价格,"当前到近月
交割时间间隔","当前到主力
交割时间间隔",展期收益率,价差
2010/1/4,4048,4579,50,140,-0.499878457,-531
2010/1/5,4077,4589,49,139,-0.479775108,
2010/1/6,4104,4622,48,138,-0.482065249,
2010/1/7,4050,4489,47,137,-0.417369708,
2010/1/8,4047,4462,46,136,-0.395908322,
2010/1/11,4086,4516,43,133,-0.405799497,
2010/1/12,4085,4510,42,132,-0.401400336,
2010/1/13,4035,4418,41,131,-0.367761036,
2010/1/14,4050,4433,40,130,-0.366458681,
2010/1/15,4009,4368,39,129,-0.347818253,
2010/1/18,4008,4395,36,126,-0.373821512,
2010/1/19,3996,4382,35,125,-0.373968376,
2010/1/20,3976,4364,34,124,-0.377624049,
2010/1/21,3948,4352,33,123,-0.395118129,
2010/1/22,3873,4288,32,122,-0.41281915,
2010/1/25,3873,4278,29,119,-0.403350186,
2010/1/26,3883,4265,28,118,-0.380549528,
2010/1/27,3903,4316,27,117,-0.407922212,
2010/1/28,3880,4293,26,116,-0.410222022,
2010/1/29,3884,4300,25,115,-0.412650638,
2010/2/1,4013,4295,49,112,-0.393461102,
2010/2/2,3914,4159,48,111,-0.351760302,
2010/2/3,3915,4180,47,110,-0.379460472,
2010/2/4,3860,4115,46,109,-0.370629405,
2010/2/5,3870,4109,45,108,-0.347185583,
2010/2/8,3886,4129,42,105,-0.351413286,
2010/2/9,3887,4157,41,104,-0.389078461,
2010/2/10,3930,4198,40,103,-0.382200165,
2010/2/11,3935,4229,39,102,-0.417459634,
2010/2/12,3975,4293,38,101,-0.445885397,
2010/2/22,3940,4243,28,91,-0.429250677,
2010/2/23,3965,4283,27,90,-0.446967665,
2010/2/24,3939,4253,26,89,-0.444359878,
2010/2/25,3918,4209,25,88,-0.415078986,
2010/2/26,3880,4214,24,87,-0.478423239,
2010/3/1,4043,4209,52,84,-0.458965818,
2010/3/2,4002,4155,51,83,-0.427941879,
2010/3/3,4000,4143,50,82,-0.400653679,
2010/3/4,4004,4141,49,81,-0.383745523,
2010/3/5,4020,4168,48,80,-0.412386146,
2010/3/8,4038,4189,45,77,-0.418752205,
2010/3/9,4047,4636,44,227,-0.271009627,
2010/3/10,4064,4649,43,226,-0.268233977,
2010/3/11,4076,4652,42,225,-0.263639937,
2010/3/12,4088,4658,41,224,-0.260347357,
2010/3/15,4136,4660,38,221,-0.237920784,
2010/3/16,4242,4780,37,220,-0.238158891,
2010/3/17,4229,4763,36,219,-0.237174533,
2010/3/18,4206,4733,35,218,-0.235449281,
2010/3/19,4236,4757,34,217,-0.231361712,
2010/3/22,4251,4768,31,214,-0.228918188,
2010/3/23,4262,4742,30,213,-0.212857736,
2010/3/24,4305,4778,29,212,-0.207920178,
2010/3/25,4335,4796,28,211,-0.20156901,
2010/3/26,4352,4793,27,210,-0.192514584,
2010/3/29,4367,4810,24,207,-0.192713637,
2010/3/30,4341,4761,23,206,-0.184201327,
2010/3/31,4330,4755,22,205,-0.186746673,
2010/4/1,4411,4753,53,204,-0.180504771,
2010/4/2,4418,4786,52,203,-0.193396542,
2010/4/6,4438,4824,48,199,-0.201595144,
2010/4/7,4460,4846,47,198,-0.200640878,
2010/4/8,4431,4810,46,197,-0.198385457,
2010/4/9,4464,4848,45,196,-0.199471349,
2010/4/12,4499,4872,42,193,-0.19252996,
2010/4/13,4556,4881,41,192,-0.166558616,
2010/4/14,4573,4854,40,191,-0.144147595,
2010/4/15,4509,4819,39,190,-0.160723371,
2010/4/16,4514,4838,38,189,-0.167556111,
2010/4/19,4461,4752,35,186,-0.152750387,
2010/4/20,4474,4772,34,185,-0.155868636,
2010/4/21,4455,4759,33,184,-0.159561808,
2010/4/22,4443,4734,32,183,-0.153350005,
2010/4/23,4422,4740,31,182,-0.16786387,
2010/4/26,4397,4734,28,179,-0.178506805,
2010/4/27,4339,4678,27,178,-0.181839522,
2010/4/28,4291,4588,26,177,-0.161770884,
2010/4/29,4262,4583,25,176,-0.175526982,
2010/4/30,4290,4635,24,175,-0.186970564,
2010/5/4,4395,4665,51,171,-0.181345089,
2010/5/5,4373,4653,50,170,-0.188774655,
2010/5/6,4352,4637,49,169,-0.192939292,
2010/5/7,4292,4545,48,168,-0.174211163,
2010/5/10,4273,4534,45,165,-0.180335536,
2010/5/11,4231,4479,44,164,-0.1732577,
2010/5/12,4149,4406,43,163,-0.182803884,
2010/5/13,4140,4400,42,162,-0.185264124,
2010/5/14,4115,4367,41,161,-0.180788881,
2010/5/17,3972,4186,38,158,-0.159614128,
2010/5/18,3984,4209,37,157,-0.167105365,
2010/5/19,4020,4223,36,156,-0.149844281,
2010/5/20,4030,4251,35,155,-0.162388115,
2010/5/21,4025,4228,34,154,-0.149662645,
2010/5/24,4091,4318,31,151,-0.1642588,
2010/5/25,4067,4264,30,150,-0.143877099,
2010/5/26,4073,4272,29,149,-0.145094414,
2010/5/27,4066,4270,28,148,-0.148902091,
2010/5/28,4050,4256,27,147,-0.150905816,
2010/5/31,3989,4215,24,144,-0.167623265,
2010/6/1,3998,4178,51,143,-0.174717673,
2010/6/2,3999,4185,50,142,-0.180367028,
2010/6/3,4022,4200,49,141,-0.171808809,
2010/6/4,4009,4180,48,140,-0.165715605,
2010/6/7,3930,4021,45,137,-0.090818356,
2010/6/8,3945,4061,44,136,-0.114976168,
2010/6/9,3965,4103,43,135,-0.135734607,
2010/6/10,3950,4082,42,134,-0.130414046,
2010/6/11,3965,4111,41,133,-0.143462666,
2010/6/17,3970,4112,35,127,-0.139427752,
2010/6/18,3952,4088,34,126,-0.134233007,
2010/6/21,3976,4163,31,123,-0.182340032,
2010/6/22,3965,4138,30,122,-0.169434286,
2010/6/23,3949,4080,29,121,-0.129474253,
2010/6/24,3949,4101,28,120,-0.149842276,
2010/6/25,3935,4084,27,119,-0.147452138,
2010/6/28,3918,4039,24,116,-0.120671448,
2010/6/29,3861,3994,23,115,-0.134363712,
2010/6/30,3825,3985,22,114,-0.162579113,
2010/7/1,3886,3960,53,113,-0.114754019,
2010/7/2,3894,3975,52,112,-0.1252427,
2010/7/5,3878,3989,49,109,-0.171677848,
2010/7/6,3871,3964,48,108,-0.144422865,
2010/7/7,3859,3965,47,107,-0.164844783,
2010/7/8,3844,3935,46,106,-0.142334127,
2010/7/9,3823,3950,45,105,-0.198804089,
2010/7/12,3818,3943,42,102,-0.195975372,
2010/7/13,3790,3917,41,101,-0.200506883,
2010/7/14,3779,3906,40,100,-0.201080983,
2010/7/15,3775,3909,39,99,-0.212193992,
2010/7/16,3768,4066,38,192,-0.180403285,
2010/7/19,3808,4135,35,189,-0.19525891,
2010/7/20,3887,4187,34,188,-0.176211655,
2010/7/21,3900,4177,33,187,-0.162630567,
2010/7/22,3886,4173,32,186,-0.16888325,
2010/7/23,3967,4223,31,185,-0.148217575,
2010/7/26,3920,4215,28,182,-0.171971735,
2010/7/27,3888,4155,27,181,-0.1574182,
2010/7/28,3920,4220,26,180,-0.174781611,
2010/7/29,3906,4216,25,179,-0.181013878,
2010/7/30,3952,4285,24,178,-0.191740596,
2010/8/2,4053,4327,56,175,-0.20064913,
2010/8/3,4029,4298,55,174,-0.198239757,
2010/8/4,4039,4324,54,173,-0.209135072,
2010/8/5,4048,4302,53,172,-0.18666253,
2010/8/6,4048,4317,52,171,-0.197338583,
2010/8/9,4096,4379,49,168,-0.204919895,
2010/8/10,4101,4357,48,167,-0.185729485,
2010/8/11,4121,4361,47,166,-0.173622024,
2010/8/12,4088,4301,46,165,-0.155789671,
2010/8/13,4098,4334,45,164,-0.171739718,
2010/8/16,4118,4361,42,161,-0.175855713,
2010/8/17,4139,4367,41,160,-0.16447103,
2010/8/18,4146,4361,40,159,-0.15507094,
2010/8/19,4170,4365,39,158,-0.140178874,
2010/8/20,4150,4311,38,157,-0.116743445,
2010/8/23,4120,4261,35,154,-0.103214366,
2010/8/24,4116,4238,34,153,-0.089592599,
2010/8/25,4100,4225,33,152,-0.092115839,
2010/8/26,4115,4257,32,151,-0.104058288,
2010/8/27,4134,4268,31,150,-0.097844146,
2010/8/30,4150,4333,28,147,-0.132356387,
2010/8/31,4193,4312,27,146,-0.085837465,
2010/9/1,4218,4352,51,145,-0.121437937,
2010/9/2,4263,4386,50,144,-0.110449436,
2010/9/3,4258,4365,49,143,-0.096370184,
2010/9/6,4468,4584,46,140,-0.099525009,
2010/9/7,4466,4568,45,139,-0.087686664,
2010/9/8,4460,4538,44,138,-0.067321611,
2010/9/9,4384,4439,43,137,-0.048411333,
2010/9/10,4437,4494,42,136,-0.049565064,
2010/9/13,4439,4481,39,133,-0.036566438,
2010/9/14,4397,4418,38,132,-0.018500898,
2010/9/15,4391,4417,37,131,-0.022924101,
2010/9/16,4358,4366,36,130,-0.007121467,
2010/9/17,4360,4359,35,129,0.000890694,
2010/9/20,4367,4378,32,126,-0.009768505,
2010/9/21,4301,4317,31,125,-0.014418132,
2010/9/27,4240,4258,25,119,-0.016449452,
2010/9/28,4190,4251,24,118,-0.056122693,
2010/9/29,4171,4240,23,117,-0.063709795,
2010/9/30,4180,4263,22,116,-0.076346705,
2010/10/8,4239,4279,45,108,-0.05441365,
2010/10/11,4297,4341,42,105,-0.059023579,
2010/10/12,4278,4304,41,104,-0.03510496,
2010/10/13,4285,4324,40,103,-0.052492491,
2010/10/14,4250,4474,39,221,-0.103009979,
2010/10/15,4290,4498,38,220,-0.094952385,
2010/10/18,4322,4520,35,217,-0.089833591,
2010/10/19,4360,4488,34,216,-0.058029206,
2010/10/20,4298,4421,33,215,-0.056587267,
2010/10/21,4298,4427,32,214,-0.059307197,
2010/10/22,4295,4413,31,213,-0.054355268,
2010/10/25,4300,4510,28,210,-0.095626251,
2010/10/26,4300,4477,27,209,-0.080897951,
2010/10/27,4319,4486,26,208,-0.076083532,
2010/10/28,4318,4504,25,207,-0.08457884,
2010/10/29,4265,4505,24,206,-0.109792221,
2010/11/1,4349,4553,51,203,-0.110077331,
2010/11/2,4351,4542,50,202,-0.103164704,
2010/11/3,4380,4551,49,201,-0.091966228,
2010/11/4,4440,4606,48,200,-0.088141317,
2010/11/5,4533,4708,47,199,-0.090959963,
2010/11/8,4539,4709,44,196,-0.088293615,
