DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2009/1/5,0.005115982,,0.035967184,0.005390405,,0.005536419,-0.004545298,,0.041836533,,,,,,0.040560091,0.035587002,,,,0.043464098,,,-0.010522006,,,,0.046079939,,0.017361074,0.027983839,,0.042997378
2009/1/6,0.013041841,,0.012666164,-0.029342149,,-0.009130883,-0.002002861,,0.057610929,,,,,,0.030446299,0.01679414,,,,0.037639676,,,0.049265832,,,,0.060031814,,0.011729425,0.036654356,,0.055652057
2009/1/7,-0.006582815,,0.005117566,0.016238237,,-0.008008044,0.011324855,,0.023465836,,,,,,0.019724426,0.00448756,,,,0.011799997,,,0.036808251,,,,-0.000756376,,-0.011165806,0.003299353,,-0.016696581
2009/1/8,-0.001724261,,-0.034685005,-0.014997749,,0.015953667,0.001606849,,-0.011982598,,,,,,-0.028314329,-0.013473256,,,,-0.018627055,,,-0.009507474,,,,-0.006226687,,-0.003770781,-0.029082805,,-0.031062213
2009/1/9,0.015313804,,0.024400114,0.011340189,,0.003965748,0.003062688,,0.029077679,,,,,,0.04337007,0.042112469,,,,0.02673106,,,-0.018760054,,,,0.031448198,,-0.004737195,0.027059571,,0.011593941
2009/1/12,0.024591306,,-0.01429449,-0.005757899,,0.000518861,-0.008701344,,0.030421993,,,,,,-0.001929327,0.013519351,,,,0.006147376,,,-0.002576205,,,,-0.002538272,,0.041933531,0.012228665,,0.017647044
2009/1/13,-0.031640189,,-0.018289927,-0.035213927,,-0.007512123,-0.006107852,,-0.054752859,,,,,,0.0158337,-0.044740367,,,,-0.031298895,,,-0.000656338,,,,-0.009380001,,-0.010895497,-0.039580951,,-0.012343425
2009/1/14,0.020259629,,0.027557795,0.008919724,,0.002425027,0.002549632,,0.036247032,,,,,,0.02857431,0.014140619,,,,0.005076788,,,0.03267256,,,,0.041671422,,0.041641253,0.011384086,,0.043025951
2009/1/15,-0.011202847,,-0.008420194,-0.018588203,,-0.003248549,-0.001796984,,-0.039298688,,,,,,0.001690386,-0.012293794,,,,-0.034539894,,,0.013009546,,,,-0.022110027,,-0.007464652,-0.026175758,,-0.03203208
2009/1/16,0.015222331,,0.011035035,0.016157519,,0.002982602,0.006182508,,0.037571441,,,,,,0.016443042,0.024942704,,,,0.009122945,,,-0.007111905,,,,0.020241259,,0.005187292,0.01379541,,0.016928179
2009/1/19,0.004340629,,0.006410093,0.020588371,,0.003172851,-0.001181856,,0.016690639,,,,,,0.014123381,0.003071715,,,,-0.004313131,,,0.000779783,,,,0.001133827,,0.003891832,-0.01367474,,-0.008433534
2009/1/20,-0.010547053,,-0.043373358,-0.01337882,,-0.005509102,-0.001265254,,-0.006190913,,,,,,-0.001967828,-0.015422708,,,,-0.008287554,,,0.016600086,,,,0.022293374,,-0.022443296,-0.003414297,,-0.021385182
2009/1/21,-0.006466305,,-0.012500264,0.026306954,,0.001057944,-0.002307814,,-0.02068315,,,,,,-0.019144786,-0.004797538,,,,0.005774082,,,-0.007360873,,,,-0.00427398,,0.002855338,0.003605856,,-0.017391988
2009/1/22,0.002950378,,-0.002461362,0.001057613,,0.000915797,-0.001677758,,-0.028406269,,,,,,0.010148693,0.010467071,,,,0.002736083,,,0.010423945,,,,-0.012797166,,0.005720162,-0.000684278,,-0.038582333
2009/1/23,0.006703691,,0.020810778,0.004693691,,0.018280792,0.005343757,,-0.023018695,,,,,,0.031025147,0.017290448,,,,-0.008416701,,,0.018749666,,,,-0.013844623,,-0.00130549,-0.004645866,,0.008476298
2009/2/2,-0.008814652,,-0.015709571,0.058306124,,0.00054442,0.006059852,,-0.024335297,,,,,,0.01513815,-0.001696306,,,,-0.037658206,,,0.033120744,,,,-0.00831843,,0.017983944,-0.027615764,,-0.028159403
2009/2/3,0.013660389,,0.026797288,-0.005753153,,0.007466255,0.006193867,,0.051116246,,,,,,-0.001162786,0.005965013,,,,0.030728423,,,0.005494451,,,,0.036673269,,0.022005503,0.026501942,,0.038367941
2009/2/4,0.002755901,,-0.004073829,-0.002349444,,-0.000987429,-0.003561707,,0.021892576,,,,,,0.028918076,-0.009249708,,,,0.016007243,,,0.017759884,,,,0.026146115,,0.003357892,0.009711545,,0.003909651
