DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2009/1/5,0.009166174,,0.036395147,0.005496538,,0.003875969,-0.004662993,,0.040687919,,,,,,0.046186144,0.035901573,,,0.022633089,0.043582567,,,-0.01156515,,,,0.045164234,,0.017531557,0.02800659,,0.042490119
2009/1/6,0.013477879,,0.011705686,-0.029645204,,-0.008365508,-0.002555366,,0.057638049,,,,,,0.034782609,0.015965732,,,0.036471322,0.040229885,,,0.049921997,,,,0.059799214,,0.011716058,0.036858974,,0.056398104
2009/1/7,-0.00318011,,0.005785124,0.01635881,,-0.007787151,0.011955594,,0,,,,,,0.020685197,0.004599463,,,0.006917293,0.008103131,,,0.037518574,,,,0,,-0.011239782,0.00309119,,-0.018393899
2009/1/8,-0.037703016,,-0.035743632,-0.015136172,,0.018312623,0.002109705,,-0.018292683,,,,,,-0.030398987,-0.012590614,,,-0.025388292,-0.019729631,,,-0.011457214,,,,-0.009060956,,-0.004133655,-0.029275809,,-0.032906764
2009/1/9,0.016274864,,0.026842778,0.011634829,,0.004495825,0.002947368,,0.059006211,,,,,,0.044415415,0.042890263,,,0.023904382,0.030190086,,,-0.017022818,,,,0.030756442,,-0.004496714,0.027301587,,0.015595463
2009/1/12,0.034697509,,-0.014522822,-0.005991227,,-0.000639386,-0.010075567,,0.031524927,,,,,,-0.004377736,0.013708781,,,0.029631847,0.005426918,,,-0.001473839,,,,-0.004435484,,0.039263377,0.012360939,,0.017682643
2009/1/13,-0.030667813,,-0.016,-0.035625875,,-0.007677543,-0.006361323,,-0.062899787,,,,,,0.013819095,-0.04495614,,,-0.047965116,-0.033465275,,,-0.001107011,,,,-0.011745646,,-0.014042126,-0.03968254,,-0.01051669
2009/1/14,0.018036665,,0.029952931,0.009486607,,0.002578981,0.002560819,,0.050436102,,,,,,0.029739777,0.014542671,,,0.026259542,0.006329114,,,0.032508312,,,,0.046721311,,0.03221431,0.011760966,,0.043900185
2009/1/15,-0.016264885,,-0.006231824,-0.018905473,,-0.003858521,-0.001702852,,-0.047292419,,,,,,0.004211793,-0.012070917,,,-0.019041952,-0.03736589,,,0.015384615,,,,-0.025841817,,-0.007884363,-0.026390198,,-0.034085879
2009/1/16,0.014171833,,0.002926421,0.016508902,,0.002582311,0.003411514,,0.040924593,,,,,,0.017375674,0.026727759,,,0.010919017,0.008070715,,,-0.00880902,,,,0.022106109,,0.003311258,0.014520813,,0.016498625
2009/1/19,0.008442504,,0.007919967,0.02056427,,0.00386349,-0.000849979,,0.016745541,,,,,,0.014134276,0.002975084,,,-0.01170117,-0.004193671,,,0.000355492,,,,0.000786473,,0.002640264,-0.013994911,,-0.008566276
2009/1/20,-0.011547344,,-0.046319272,-0.013415164,,-0.005772931,-0.002126755,,-0.004654493,,,,,,-0.0029036,-0.015202076,,,-0.004250152,-0.008422665,,,0.019189765,,,,0.027111984,,-0.024028966,-0.003225806,,-0.022737608
2009/1/21,-0.010221963,,-0.010841284,0.026314341,,0,-0.002131287,,-0.020863309,,,,,,-0.022131625,-0.004518072,,,0.004268293,0.006177606,,,-0.011157601,,,,-0.005355777,,0.002360877,0.003559871,,-0.016286645
2009/1/22,0.000590145,,-0.002630425,0.00096551,,0.000645161,-0.003844511,,-0.029390154,,,,,,0.010125074,0.0102118,,,0.000910747,0.002302379,,,0.012341326,,,,-0.013461538,,0.004374159,-0.001289906,,-0.037842952
2009/1/23,0.004718372,,0.022417582,0.004822893,,0.018052869,0.006432247,,-0.022331567,,,,,,0.035377358,0.017970797,,,0.005459509,-0.008422665,,,0.020550331,,,,-0.013645224,,0.054941374,-0.004520504,,0.008357915
2009/2/2,-0.008805401,,-0.016337059,0.058396885,,-0.000633312,0.007669365,,-0.025938831,,,,,,0.015375854,-0.001838911,,,-0.023831071,-0.04015444,,,0.033447099,,,,-0.009486166,,0.016513179,-0.028867986,,-0.028278888
2009/2/3,0.020136216,,0.027534965,-0.005794619,,0.008238276,0.006765328,,0.052861685,,,,,,-0.001121705,0.005526898,,,0.049752781,0.03378922,,,0.006274769,,,,0.040303272,,0.019368947,0.029392118,,0.039136979
2009/2/4,0.005515239,,-0.005104211,-0.002331357,,0,-0.004199916,,0.023782559,,,,,,0.029758563,-0.009160865,,,0.012658228,0.015564202,,,0.014768625,,,,0.028385117,,0.001532332,0.00908501,,0.003862868
2009/2/5,0.006639723,,0.001710133,0.009652019,,-0.006285355,0.000421763,,0.007743363,,,,,,-0.000545256,-0.001849112,,,-0.013953488,-0.013793103,,,-0.010996119,,,,-0.018276762,,-0.000305998,-0.005787781,,-0.014430014
