,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2009/1/1 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/1/2 0:00,0.052804934,-0.042453363,1.515788907,0.157222137,,,,,0.747298577,,,,,,,,,0.644180225,,,-0.004410143,,,,,,,-0.36090535,,,0.047840155,1.864933597
2009/1/3 0:00,0.066426831,-0.042453363,1.515653577,0.157222137,,,,,0.755174882,,,,,,,,,0.645828113,,,-0.034224599,,,,,,,-0.359059018,,,0.027813568,1.87223796
2009/1/4 0:00,0.099502033,-0.036952187,1.445843421,0.157222137,,-0.632747763,-0.755203997,,0.712038923,,0.03177937,0.258631513,,,-0.389972145,,,0.649547966,-0.848376573,,-0.036286019,,-0.591910349,,,,-0.617644525,-0.357201987,-0.755203997,,0.065585192,1.589236948
2009/1/5 0:00,0.131045673,-0.04380864,1.445798322,0.15718119,,,,,0.718947463,,,,,,,,,0.651557007,,,-0.036286019,,,,,,,-0.357201987,,,0.022540294,1.630654382
2009/1/6 0:00,0.094902654,-0.043912795,1.454337385,0.158455712,,,,,0.72499617,,,,,,,,,0.650552486,,,-0.044290288,,,,,,,-0.357201987,,,-0.011955307,1.625211434
2009/1/7 0:00,-0.010444697,-0.047374882,1.465016584,0.15059177,,,,,0.743042286,,,,,,,,,0.639695799,,,-0.091002045,,,,,,,-0.339966833,,,-0.022395332,1.463241563
2009/1/8 0:00,-0.047551347,-0.025848629,1.488910314,0.153659125,,,,,0.774869718,,,,,,,,,0.636431597,,,-0.093495935,,,,,,,-0.342868988,,,-0.021640692,1.514460031
2009/1/9 0:00,-0.091315876,-0.023141881,1.497147049,0.15420805,,,,,0.802209798,-0.052228726,,,,,,,,0.636147889,,,-0.086713996,,,,,,,-0.338723051,,,-0.037022604,1.516816763
2009/1/10 0:00,-0.099301484,-0.02394763,1.494722285,0.15420805,,,,,0.812731488,,,,,,,,,0.641273023,,,-0.087176888,,,,,,,-0.335139642,,,-0.041391509,1.528087774
2009/1/11 0:00,-0.10884973,-0.021111477,1.478597049,0.154234073,,-0.634393788,-0.736976028,,0.826013608,,0.004820009,0.241152787,,,-0.134387352,,,0.653079253,-0.801198374,,-0.085786802,,-0.718629021,,,,-0.737834214,-0.331797235,-0.736976028,,-0.030608575,1.521943854
2009/1/12 0:00,-0.107309927,-0.023557173,1.493861224,0.154234073,,-0.634393788,-0.726128298,,0.851694623,,0.004820009,0.241152787,,,-0.134387352,,,0.654088844,0.227263,,-0.08071066,,-0.742951537,,,,-0.747298683,-0.328864684,-0.726128298,,-0.007070323,1.543619664
2009/1/13 0:00,-0.13987693,-0.028372413,1.503413139,0.153545927,,-0.634393788,-0.723985536,,0.875855185,,0.004820009,0.241152787,,,-0.134387352,,,0.657370015,0.204365504,,-0.069035533,,-0.770922431,,,,-0.748639483,-0.33640553,-0.723985536,,-0.012169902,1.595432533
2009/1/14 0:00,-0.106382151,-0.029117758,1.512960082,0.152315006,,-0.634393788,-0.720369626,,0.915841615,,0.004820009,0.241152787,,,-0.134387352,,,0.676899463,0.204365504,,-0.057201226,,-0.772118289,,,,-0.757551857,-0.323604061,-0.720369626,,-0.013054975,1.596378003
2009/1/15 0:00,-0.111627463,-0.03092411,1.543590061,0.140949766,,-0.634393788,-0.718092942,,0.98684211,,0.004820009,0.241152787,,,-0.134387352,,,0.686969931,0.20179756,,-0.06842372,,-0.812453128,,,,-0.757551857,-0.313534154,-0.718092942,,0.001415587,1.54171848
2009/1/16 0:00,-0.073054166,-0.03442395,1.54250238,0.139404658,,-0.740480962,-0.714610955,,1.056017559,,0.039850466,0.24327188,,,-0.134387352,,,0.689069139,0.198373636,,-0.070993915,,-0.802947078,,,,-0.743355154,-0.29770017,-0.714610955,,-0.015440966,1.540783432
2009/1/17 0:00,-0.050046143,-0.029809891,1.53341309,0.139528306,,-0.740480962,-0.714610955,,1.110615301,,0.039850466,0.24327188,,,-0.134387352,,,0.691900954,0.198373636,,-0.058581706,,-0.802947078,,,,-0.743355154,-0.313202832,-0.714610955,,-0.016366064,1.532662246
2009/1/18 0:00,-0.042396131,-0.029807343,1.522047641,0.139528306,,-0.769367765,-0.719568364,,1.045004236,-0.105061676,0.009599086,0.258472758,,,0.303571429,,,0.695618457,0.481873512,,-0.046826223,,-0.788228631,,,,-0.752829472,-0.313488759,-0.719568364,,0.001653473,1.349577745
2009/1/19 0:00,-0.070559817,-0.029807343,1.573802079,0.139528306,,-0.769367765,-0.717068035,,1.055062169,-0.105061676,0.009599086,0.258472758,,,0.303571429,,,0.701951661,0.287906854,,-0.052549428,,-0.788250414,,,,-0.75526016,-0.308909242,-0.717068035,,0.004351414,1.352369054
