日期,主力合约,"主力合约
持仓量","主力合约
价格","主力合约
交割日",次主力合约,"次主力合约
持仓量","次主力
合约价格","次主力合约
交割日"
2010/1/4,[u'RB1005.SHF'],[965458.0],[4579.0],2010/5/24 0:00,[u'RB1003.SHF'],[136942.0],[4198.0],2010/3/22 0:00
2010/1/5,[u'RB1005.SHF'],[987708.0],[4589.0],2010/5/24 0:00,[u'RB1003.SHF'],[136722.0],[4227.0],2010/3/22 0:00
2010/1/6,[u'RB1005.SHF'],[1027884.0],[4622.0],2010/5/24 0:00,[u'RB1003.SHF'],[139076.0],[4253.0],2010/3/22 0:00
2010/1/7,[u'RB1005.SHF'],[932514.0],[4489.0],2010/5/24 0:00,[u'RB1003.SHF'],[129528.0],[4172.0],2010/3/22 0:00
2010/1/8,[u'RB1005.SHF'],[894544.0],[4462.0],2010/5/24 0:00,[u'RB1010.SHF'],[139346.0],[4743.0],2010/10/22 0:00
2010/1/11,[u'RB1005.SHF'],[939144.0],[4516.0],2010/5/24 0:00,[u'RB1010.SHF'],[166010.0],[4834.0],2010/10/22 0:00
2010/1/12,[u'RB1005.SHF'],[957810.0],[4510.0],2010/5/24 0:00,[u'RB1010.SHF'],[180040.0],[4802.0],2010/10/22 0:00
2010/1/13,[u'RB1005.SHF'],[906786.0],[4418.0],2010/5/24 0:00,[u'RB1010.SHF'],[160054.0],[4725.0],2010/10/22 0:00
2010/1/14,[u'RB1005.SHF'],[938680.0],[4433.0],2010/5/24 0:00,[u'RB1010.SHF'],[160326.0],[4742.0],2010/10/22 0:00
2010/1/15,[u'RB1005.SHF'],[939862.0],[4368.0],2010/5/24 0:00,[u'RB1010.SHF'],[159522.0],[4678.0],2010/10/22 0:00
2010/1/18,[u'RB1005.SHF'],[943604.0],[4395.0],2010/5/24 0:00,[u'RB1010.SHF'],[155006.0],[4704.0],2010/10/22 0:00
2010/1/19,[u'RB1005.SHF'],[888684.0],[4382.0],2010/5/24 0:00,[u'RB1010.SHF'],[154878.0],[4712.0],2010/10/22 0:00
2010/1/20,[u'RB1005.SHF'],[847790.0],[4364.0],2010/5/24 0:00,[u'RB1010.SHF'],[151016.0],[4692.0],2010/10/22 0:00
2010/1/21,[u'RB1005.SHF'],[862226.0],[4352.0],2010/5/24 0:00,[u'RB1010.SHF'],[155304.0],[4698.0],2010/10/22 0:00
2010/1/22,[u'RB1005.SHF'],[856708.0],[4288.0],2010/5/24 0:00,[u'RB1010.SHF'],[145956.0],[4600.0],2010/10/22 0:00
2010/1/25,[u'RB1005.SHF'],[874294.0],[4278.0],2010/5/24 0:00,[u'RB1010.SHF'],[151812.0],[4583.0],2010/10/22 0:00
2010/1/26,[u'RB1005.SHF'],[852992.0],[4265.0],2010/5/24 0:00,[u'RB1010.SHF'],[147282.0],[4586.0],2010/10/22 0:00
2010/1/27,[u'RB1005.SHF'],[891916.0],[4316.0],2010/5/24 0:00,[u'RB1010.SHF'],[156738.0],[4612.0],2010/10/22 0:00
2010/1/28,[u'RB1005.SHF'],[914470.0],[4293.0],2010/5/24 0:00,[u'RB1010.SHF'],[152246.0],[4594.0],2010/10/22 0:00
2010/1/29,[u'RB1005.SHF'],[870164.0],[4300.0],2010/5/24 0:00,[u'RB1010.SHF'],[154466.0],[4607.0],2010/10/22 0:00
2010/2/1,[u'RB1005.SHF'],[861912.0],[4295.0],2010/5/24 0:00,[u'RB1010.SHF'],[156754.0],[4592.0],2010/10/22 0:00
2010/2/2,[u'RB1005.SHF'],[825676.0],[4159.0],2010/5/24 0:00,[u'RB1010.SHF'],[202382.0],[4417.0],2010/10/22 0:00
2010/2/3,[u'RB1005.SHF'],[802842.0],[4180.0],2010/5/24 0:00,[u'RB1010.SHF'],[188170.0],[4482.0],2010/10/22 0:00
2010/2/4,[u'RB1005.SHF'],[775898.0],[4115.0],2010/5/24 0:00,[u'RB1010.SHF'],[184978.0],[4435.0],2010/10/22 0:00
2010/2/5,[u'RB1005.SHF'],[711780.0],[4109.0],2010/5/24 0:00,[u'RB1010.SHF'],[178476.0],[4415.0],2010/10/22 0:00
2010/2/8,[u'RB1005.SHF'],[685168.0],[4129.0],2010/5/24 0:00,[u'RB1010.SHF'],[181236.0],[4432.0],2010/10/22 0:00
2010/2/9,[u'RB1005.SHF'],[690518.0],[4157.0],2010/5/24 0:00,[u'RB1010.SHF'],[185046.0],[4453.0],2010/10/22 0:00
2010/2/10,[u'RB1005.SHF'],[680758.0],[4198.0],2010/5/24 0:00,[u'RB1010.SHF'],[202684.0],[4511.0],2010/10/22 0:00
2010/2/11,[u'RB1005.SHF'],[676876.0],[4229.0],2010/5/24 0:00,[u'RB1010.SHF'],[203178.0],[4520.0],2010/10/22 0:00
2010/2/12,[u'RB1005.SHF'],[656346.0],[4293.0],2010/5/24 0:00,[u'RB1010.SHF'],[214586.0],[4593.0],2010/10/22 0:00
2010/2/22,[u'RB1005.SHF'],[710878.0],[4243.0],2010/5/24 0:00,[u'RB1010.SHF'],[227882.0],[4556.0],2010/10/22 0:00
2010/2/23,[u'RB1005.SHF'],[798784.0],[4283.0],2010/5/24 0:00,[u'RB1010.SHF'],[282696.0],[4607.0],2010/10/22 0:00
2010/2/24,[u'RB1005.SHF'],[824246.0],[4253.0],2010/5/24 0:00,[u'RB1010.SHF'],[306754.0],[4601.0],2010/10/22 0:00
2010/2/25,[u'RB1005.SHF'],[790336.0],[4209.0],2010/5/24 0:00,[u'RB1010.SHF'],[339664.0],[4597.0],2010/10/22 0:00
2010/2/26,[u'RB1005.SHF'],[727690.0],[4214.0],2010/5/24 0:00,[u'RB1010.SHF'],[376660.0],[4620.0],2010/10/22 0:00
2010/3/1,[u'RB1005.SHF'],[697674.0],[4209.0],2010/5/24 0:00,[u'RB1010.SHF'],[443312.0],[4677.0],2010/10/22 0:00
2010/3/2,[u'RB1005.SHF'],[635048.0],[4155.0],2010/5/24 0:00,[u'RB1010.SHF'],[463304.0],[4609.0],2010/10/22 0:00
2010/3/3,[u'RB1005.SHF'],[618836.0],[4143.0],2010/5/24 0:00,[u'RB1010.SHF'],[491082.0],[4586.0],2010/10/22 0:00
2010/3/4,[u'RB1005.SHF'],[585416.0],[4141.0],2010/5/24 0:00,[u'RB1010.SHF'],[519260.0],[4528.0],2010/10/22 0:00
2010/3/5,[u'RB1005.SHF'],[567908.0],[4168.0],2010/5/24 0:00,[u'RB1010.SHF'],[526852.0],[4560.0],2010/10/22 0:00
2010/3/8,[u'RB1010.SHF'],[622494.0],[4626.0],2010/10/22 0:00,[u'RB1005.SHF'],[534642.0],[4189.0],2010/5/24 0:00
2010/3/9,[u'RB1010.SHF'],[690336.0],[4636.0],2010/10/22 0:00,[u'RB1005.SHF'],[482724.0],[4195.0],2010/5/24 0:00
2010/3/10,[u'RB1010.SHF'],[715950.0],[4649.0],2010/10/22 0:00,[u'RB1005.SHF'],[426834.0],[4209.0],2010/5/24 0:00
2010/3/11,[u'RB1010.SHF'],[808320.0],[4652.0],2010/10/22 0:00,[u'RB1005.SHF'],[392298.0],[4213.0],2010/5/24 0:00
2010/3/12,[u'RB1010.SHF'],[840734.0],[4658.0],2010/10/22 0:00,[u'RB1005.SHF'],[367532.0],[4209.0],2010/5/24 0:00
2010/3/15,[u'RB1010.SHF'],[816388.0],[4660.0],2010/10/22 0:00,[u'RB1005.SHF'],[356908.0],[4244.0],2010/5/24 0:00
2010/3/16,[u'RB1010.SHF'],[1017718.0],[4780.0],2010/10/22 0:00,[u'RB1005.SHF'],[303364.0],[4346.0],2010/5/24 0:00
2010/3/17,[u'RB1010.SHF'],[1148228.0],[4763.0],2010/10/22 0:00,[u'RB1005.SHF'],[286034.0],[4338.0],2010/5/24 0:00
2010/3/18,[u'RB1010.SHF'],[1083410.0],[4733.0],2010/10/22 0:00,[u'RB1005.SHF'],[278414.0],[4320.0],2010/5/24 0:00
2010/3/19,[u'RB1010.SHF'],[1095246.0],[4757.0],2010/10/22 0:00,[u'RB1005.SHF'],[251868.0],[4346.0],2010/5/24 0:00
2010/3/22,[u'RB1010.SHF'],[1112354.0],[4768.0],2010/10/22 0:00,[u'RB1005.SHF'],[226350.0],[4358.0],2010/5/24 0:00
2010/3/23,[u'RB1010.SHF'],[1117220.0],[4742.0],2010/10/22 0:00,[u'RB1005.SHF'],[213184.0],[4359.0],2010/5/24 0:00
2010/3/24,[u'RB1010.SHF'],[1056760.0],[4778.0],2010/10/22 0:00,[u'RB1005.SHF'],[218844.0],[4418.0],2010/5/24 0:00
2010/3/25,[u'RB1010.SHF'],[1088852.0],[4796.0],2010/10/22 0:00,[u'RB1005.SHF'],[210078.0],[4429.0],2010/5/24 0:00
2010/3/26,[u'RB1010.SHF'],[1136328.0],[4793.0],2010/10/22 0:00,[u'RB1005.SHF'],[183636.0],[4439.0],2010/5/24 0:00
2010/3/29,[u'RB1010.SHF'],[1157194.0],[4810.0],2010/10/22 0:00,[u'RB1005.SHF'],[174058.0],[4461.0],2010/5/24 0:00
2010/3/30,[u'RB1010.SHF'],[1182328.0],[4761.0],2010/10/22 0:00,[u'RB1005.SHF'],[161876.0],[4426.0],2010/5/24 0:00
2010/3/31,[u'RB1010.SHF'],[1114870.0],[4755.0],2010/10/22 0:00,[u'RB1005.SHF'],[156942.0],[4416.0],2010/5/24 0:00
2010/4/1,[u'RB1010.SHF'],[1105836.0],[4753.0],2010/10/22 0:00,[u'RB1005.SHF'],[144398.0],[4411.0],2010/5/24 0:00
2010/4/2,[u'RB1010.SHF'],[1080974.0],[4786.0],2010/10/22 0:00,[u'RB1005.SHF'],[132560.0],[4418.0],2010/5/24 0:00
2010/4/6,[u'RB1010.SHF'],[1084112.0],[4824.0],2010/10/22 0:00,[u'RB1005.SHF'],[117636.0],[4438.0],2010/5/24 0:00
2010/4/7,[u'RB1010.SHF'],[1181006.0],[4846.0],2010/10/22 0:00,[u'RB1005.SHF'],[110434.0],[4460.0],2010/5/24 0:00
2010/4/8,[u'RB1010.SHF'],[1224320.0],[4810.0],2010/10/22 0:00,[u'RB1005.SHF'],[100898.0],[4431.0],2010/5/24 0:00
2010/4/9,[u'RB1010.SHF'],[1232048.0],[4848.0],2010/10/22 0:00,[u'RB1005.SHF'],[95492.0],[4464.0],2010/5/24 0:00
2010/4/12,[u'RB1010.SHF'],[1251714.0],[4872.0],2010/10/22 0:00,[u'RB1005.SHF'],[90112.0],[4499.0],2010/5/24 0:00
2010/4/13,[u'RB1010.SHF'],[1282594.0],[4881.0],2010/10/22 0:00,[u'RB1005.SHF'],[90924.0],[4556.0],2010/5/24 0:00
2010/4/14,[u'RB1010.SHF'],[1408238.0],[4854.0],2010/10/22 0:00,[u'RB1005.SHF'],[79456.0],[4573.0],2010/5/24 0:00
2010/4/15,[u'RB1010.SHF'],[1433440.0],[4819.0],2010/10/22 0:00,[u'RB1005.SHF'],[69682.0],[4509.0],2010/5/24 0:00
2010/4/16,[u'RB1010.SHF'],[1434070.0],[4838.0],2010/10/22 0:00,[u'RB1005.SHF'],[65018.0],[4514.0],2010/5/24 0:00
2010/4/19,[u'RB1010.SHF'],[1284178.0],[4752.0],2010/10/22 0:00,[u'RB1005.SHF'],[58948.0],[4461.0],2010/5/24 0:00
