交易标的,开仓时间,开仓价格,平仓时间,平仓价格,平仓收益率
P1505.DCE,2015/1/19,4896,2015/3/9,5014,0.024101307
FU1510.SHF,2015/1/19,3123,2015/3/16,2959,-0.052513609
V1505.DCE,2015/1/19,5020,2015/3/30,5660,0.12749004
B1505.DCE,2015/1/19,3225,2015/3/30,3207,-0.005581395
CS1505.DCE,2015/1/19,2701,2015/4/7,2998,0.109959274
HC1505.SHF,2015/1/19,2666,2015/4/14,2358,-0.115528882
AG1506.SHF,2015/1/19,3767,2015/5/13,3604,-0.043270507
P1509.DCE,2015/3/9,4814,2015/6/10,5030,0.044869132
SN1507.SHF,2015/3/30,118080,2015/7/2,108570,-0.080538618
FU1512.SHF,2015/3/16,3041,2015/7/16,2584,-0.150279513
CS1509.DCE,2015/4/7,3000,2015/7/30,2797,-0.067666667
FU1601.SHF,2015/7/16,2411,2015/7/30,2553,0.058896723
HC1510.SHF,2015/4/14,2406,2015/7/30,2039,-0.152535328
JR607.CZC,2015/8/6,,2015/8/13,,0
V1509.DCE,2015/3/30,5675,2015/8/13,5425,-0.044052863
FU1604.SHF,2015/7/30,2359,2015/9/14,2176,-0.077575244
SN1509.SHF,2015/7/2,109700,2015/9/14,100130,-0.087237922
FU1607.SHF,2015/9/14,2497,2015/9/21,2415,-0.032839407
JR609.CZC,2015/9/21,,2015/10/19,,0
V1601.DCE,2015/8/13,5240,2015/10/19,4900,-0.064885496
CS1601.DCE,2015/7/30,2428,2015/11/2,1976,-0.18616145
JR609.CZC,2015/10/26,,2015/11/16,,0
AG1512.SHF,2015/5/13,3680,2015/11/23,3176,-0.136956522
P1601.DCE,2015/6/10,5252,2015/11/30,4302,-0.180883473
HC1601.SHF,2015/7/30,2069,2015/12/7,1756,-0.151280812
FU1609.SHF,2015/9/21,2543,2015/12/28,2603,0.02359418
SN1601.SHF,2015/9/14,102120,2015/12/28,93510,-0.084312573
SN1605.SHF,2015/12/28,91720,2016/1/12,92450,0.007959006
SN1605.SHF,2016/1/19,94790,2016/2/2,98970,0.044097479
LR609.CZC,2015/12/28,,2016/2/23,,0
FU1612.SHF,2015/12/28,2453,2016/3/1,2303,-0.061149613
FU1702.SHF,2016/3/1,2529,2016/3/8,2525,-0.001581653
SN1605.SHF,2016/2/16,99190,2016/3/15,108720,0.096078234
P1605.DCE,2015/11/30,4598,2016/3/15,5116,0.112657677
LR701.CZC,2016/2/23,,2016/3/22,,0
