交易时间,交易品种,交易动作,交易价格,本单盈利,总盈利
2010/1/4,ZN.SHF,open long,21435,0,0
2010/1/4,AU.SHF,open long,245.96,0,0
2010/1/4,AL.SHF,open long,17200,0,0
2010/1/4,CU.SHF,open long,60030,0,0
2010/1/4,ZN.SHF,open short,21435,0,0
2010/1/4,WR.SHF,open short,4340,0,0
2010/1/4,RB.SHF,open short,4579,0,0
2010/1/4,AL.SHF,open short,17200,0,0
2010/2/1,ZN.SHF,close_long,17430,-4005,-4005
2010/2/1,FU.SHF,open_long,4407,-4005,-4005
2010/2/1,AL.SHF,close_short,16345,855,-3150
2010/2/1,RU.SHF,open_short,23000,855,-3150
2010/2/22,AL.SHF,close_long,16980,12573,9423
2010/2/22,RU.SHF,open_long,24885,12573,9423
2010/2/22,ZN.SHF,open_long,18840,12573,9423
2010/2/22,ZN.SHF,close_short,18840,2595,12018
2010/2/22,FU.SHF,open_short,4530,2595,12018
2010/3/8,AL.SHF,close_long,17075,-1765,10253
2010/3/8,RU.SHF,open_long,24800,-1765,10253
2010/3/8,ZN.SHF,open_long,19235,-1765,10253
2010/3/8,FU.SHF,open_short,4567,-1765,10253
2010/3/22,AL.SHF,close_long,16685,-2550,7703
2010/3/22,RU.SHF,open_long,24005,-2550,7703
2010/3/22,FU.SHF,open_long,4605,-2550,7703
2010/3/22,ZN.SHF,open_short,18560,-2550,7703
2010/4/6,AL.SHF,close_long,16815,12210,19913
2010/4/6,RU.SHF,open_long,25390,12210,19913
2010/4/6,WR.SHF,open_long,4336,12210,19913
2010/4/6,WR.SHF,close_short,4336,4,19917
2010/4/6,ZN.SHF,open_short,19690,4,19917
2010/4/6,FU.SHF,open_short,4739,4,19917
2010/4/20,AL.SHF,close_long,16695,12359,32276
2010/4/20,CU.SHF,close_long,60800,770,33046
2010/4/20,RU.SHF,open_long,24735,770,33046
2010/4/20,FU.SHF,open_long,4755,770,33046
2010/4/20,WR.SHF,open_long,4428,770,33046
2010/4/20,ZN.SHF,open_short,18965,770,33046
2010/4/20,CU.SHF,open_short,60800,770,33046
2010/5/5,AL.SHF,close_long,15910,11482,44528
2010/5/5,RU.SHF,open_long,22905,11482,44528
2010/5/5,FU.SHF,open_long,4758,11482,44528
2010/5/5,CU.SHF,open_long,56880,11482,44528
2010/5/5,ZN.SHF,open_short,17740,11482,44528
2010/5/5,WR.SHF,open_short,4275,11482,44528
2010/5/19,AL.SHF,close_long,15160,-41720,2808
2010/5/19,RU.SHF,open_long,21855,-41720,2808
2010/5/19,FU.SHF,open_long,4468,-41720,2808
2010/5/19,CU.SHF,open_long,53130,-41720,2808
2010/5/19,ZN.SHF,open_short,15340,-41720,2808
2010/5/19,WR.SHF,open_short,4134,-41720,2808
