2011-05-11 00:00:00,J1109.DCE,2314.0,2011-05-18 00:00:00,J1109.DCE,2372.0,0.025064822817631807
2012-07-04 00:00:00,J1209.DCE,1575.9671703426802,2012-07-11 00:00:00,J1209.DCE,1552.5795296869098,-0.014840182648401836
2014-11-25 00:00:00,J1505.DCE,734.4472903897489,2014-12-02 00:00:00,J1505.DCE,731.6088467553924,-0.003864734299516896
2015-07-07 00:00:00,J1509.DCE,609.3571996756804,2015-07-14 00:00:00,J1509.DCE,582.330712404435,-0.04435245416913064
2015-11-26 00:00:00,J1605.DCE,513.6076735292851,2015-12-24 00:00:00,J1605.DCE,511.16966242076,-0.00474683544303795
2015-12-31 00:00:00,J1605.DCE,522.5470475938771,2016-01-08 00:00:00,J1605.DCE,507.1063105732182,-0.029548989113530353
2016-01-15 00:00:00,J1605.DCE,509.1379864969891,2016-01-29 00:00:00,J1605.DCE,519.7027013005978,0.02075019952114932
2016-02-19 00:00:00,J1605.DCE,542.8638068315861,2016-02-26 00:00:00,J1605.DCE,570.0882642101162,0.05014970059880238
2016-03-11 00:00:00,J1605.DCE,598.531727142909,2016-03-25 00:00:00,J1609.DCE,642.0182719689576,0.07265537122590254
2016-05-17 00:00:00,J1609.DCE,776.8925293655776,2016-05-24 00:00:00,J1609.DCE,697.0604143956156,-0.1027582477014603
2016-05-31 00:00:00,J1609.DCE,715.5478515465542,2016-06-16 00:00:00,J1609.DCE,701.2621046571925,-0.019964768056371204
2016-07-21 00:00:00,J1609.DCE,855.4641372570665,2016-09-01 00:00:00,J1701.DCE,1074.8407596715938,0.25644163543539034
2016-09-26 00:00:00,J1701.DCE,1146.5569496790565,2016-11-28 00:00:00,J1701.DCE,1984.147923539799,0.7305271439811171
2016-12-19 00:00:00,J1705.DCE,1846.6677205156604,2016-12-26 00:00:00,J1705.DCE,1634.70329688484,-0.11478211335801755
2017-01-10 00:00:00,J1705.DCE,1774.6103358074163,2017-01-17 00:00:00,J1705.DCE,1748.312020220466,-0.01481920569057494
2017-02-14 00:00:00,J1705.DCE,1767.24680744307,2017-03-07 00:00:00,J1705.DCE,1891.9008233252152,0.07053571428571428
2017-03-14 00:00:00,J1705.DCE,1959.7504775395475,2017-04-13 00:00:00,J1709.DCE,1886.3845031072515,-0.03743638553639059
2017-05-12 00:00:00,J1709.DCE,1739.2811244245759,2017-06-06 00:00:00,J1709.DCE,1631.9821893854478,-0.06169154228855722
2017-06-13 00:00:00,J1709.DCE,1657.3647331581449,2017-07-25 00:00:00,J1709.DCE,2229.0488440386603,0.3449356073790461
2017-08-01 00:00:00,J1709.DCE,2368.6528347884937,2017-09-05 00:00:00,J1801.DCE,2669.8018504584243,0.1271393643031784
2017-09-12 00:00:00,J1801.DCE,2858.5991179745733,2017-09-19 00:00:00,J1801.DCE,2521.543873513228,-0.11790923824959476
