2010-01-11 00:00:00,P1009.DCE,7124.0,2010-01-18 00:00:00,P1009.DCE,6820.0,0.04267265581134194
2010-05-26 00:00:00,P1101.DCE,6587.652223166242,2010-06-02 00:00:00,P1101.DCE,6571.792693288021,0.0024074631357206802
2010-06-21 00:00:00,P1101.DCE,6460.77598414047,2010-07-12 00:00:00,P1101.DCE,6268.479184367035,0.02976373120589146
2010-08-23 00:00:00,P1101.DCE,6916.737468139338,2010-08-30 00:00:00,P1101.DCE,7047.578589634664,-0.018916595012897615
2010-09-06 00:00:00,P1101.DCE,7069.385443217219,2010-09-13 00:00:00,P1105.DCE,6806.99297652438,0.03711672942442179
2010-11-18 00:00:00,P1109.DCE,7437.364912811894,2010-12-02 00:00:00,P1109.DCE,7789.643056787504,-0.04736598890942704
2010-12-16 00:00:00,P1109.DCE,8035.378542585124,2010-12-23 00:00:00,P1109.DCE,8289.706178235809,-0.03165098374679225
2011-01-14 00:00:00,P1109.DCE,8451.238595473405,2011-01-21 00:00:00,P1109.DCE,8468.422895179532,-0.0020333468889791886
2011-03-11 00:00:00,P1109.DCE,7877.2829852887535,2011-03-18 00:00:00,P1109.DCE,7885.875135141817,-0.0010907504363001361
2011-04-12 00:00:00,P1201.DCE,7901.194213344754,2011-04-19 00:00:00,P1201.DCE,7636.415666600864,0.03351120597652074
2011-05-18 00:00:00,P1201.DCE,7575.702114481245,2011-05-25 00:00:00,P1201.DCE,7744.350870369074,-0.022261798753339352
2011-06-30 00:00:00,P1201.DCE,7494.750711655088,2011-07-07 00:00:00,P1201.DCE,7455.961497800888,0.005175517551755131
2011-07-28 00:00:00,P1205.DCE,7590.59126322005,2011-08-04 00:00:00,P1205.DCE,7607.233647046447,-0.002192501644376155
2011-09-16 00:00:00,P1205.DCE,7340.955505824082,2011-09-23 00:00:00,P1205.DCE,6889.946904128701,0.06143731580140556
