calc_date,ISO_country_symbol,msci_security_code,security_name,company_full_mktcap,index_membership
20180530,CN,7979401,3SBIO,6988226733.611990,Mid Cap
20180530,CN,6876201,51JOB ADR,6678033025.860000,Mid Cap
20180530,CN,7389901,58.COM ADR,11695904715.690000,Large Cap
20180530,CN,7287701,AAC TECHNOLOGIES (CN),18313181771.842200,Large Cap
20180530,CN,6240901,AECC AERO ENGINE CTRL A,2494674798.200690,Mid Cap
20180530,CN,6171201,AECC AVIATION POWER CO A,8372963842.591870,Large Cap
20180530,CN,2868001,AEROSPACE TIMES ELECTR A,3225185173.483590,Mid Cap
20180530,CN,3354101,AGILE GROUP HOLDINGS,7447541632.684270,Mid Cap
20180530,CN,6433901,AGRI BANK OF CHINA A,178568924627.535000,Large Cap
20180530,CN,6433902,AGRI BANK OF CHINA H,178568924627.535000,Large Cap
20180530,CN,3029202,AIR CHINA A,22194581552.893100,Large Cap
20180530,CN,3029201,AIR CHINA H,22194581552.893100,Large Cap
20180530,CN,3018101,AISINO CO A,7463350992.812120,Large Cap
20180530,CN,7615501,ALIBABA GROUP HLDG ADR,507057272879.600000,Large Cap
20180530,CN,3006901,ALIBABA HEALTH INFO TECH,8540846033.708840,Large Cap
20180530,CN,3730301,ALIBABA PICTURES GROUP,3310620092.287690,Large Cap
20180530,CN,6373001,ALPHA GROUP A,2388208991.090630,Mid Cap
20180530,CN,2494101,ALUMINUM CORP OF CHINA H,9067740435.134060,Large Cap
20180530,CN,2860501,ANGANG STEEL CO A,6706606131.056690,Large Cap
20180530,CN,2860502,ANGANG STEEL H,6706606131.056690,Large Cap
20180530,CN,3705901,ANGEL YEAST CO A,4758728498.653630,Mid Cap
20180530,CN,2869701,ANHUI CONCH CEMENT A,27882418875.440800,Large Cap
20180530,CN,2869702,ANHUI CONCH CEMENT H,27882418875.440800,Large Cap
20180530,CN,2871201,ANHUI EXPRESSWAY A,1724366267.165340,
20180530,CN,2871202,ANHUI EXPRESSWAY H,1724366267.165340,
20180530,CN,3742502,ANHUI GUJING DISTILLER A,6117096212.983570,Mid Cap
20180530,CN,3742501,ANHUI GUJING DISTILLER B,6117096212.983570,
20180530,CN,3011701,ANHUI JIANGHUAI AUTO A,2160097408.067300,Mid Cap
20180530,CN,7985501,ANHUI KOUZI DISTILLERY A,6046974956.029080,Mid Cap
20180530,CN,6268101,ANHUI WANJIANG LOGIS A,2238106984.061510,Mid Cap
20180530,CN,6371501,ANHUI XINHUA MEDIA CO A,2582216680.402200,Large Cap
20180530,CN,7956501,ANHUI YINGJIA DISTILL A,2245085373.636120,
20180530,CN,6195901,ANHUI ZHONGDING SEAL A,3101135171.027440,Mid Cap
20180530,CN,3741301,ANTA SPORTS PRODUCTS,14830063615.684600,Large Cap
20180530,CN,6226101,ANTONG HOLDINGS CO A,2617008444.752280,
20180530,CN,3015801,ANXIN TRUST CO A,7022956375.161490,Large Cap
20180530,CN,9211101,ASYMCHEM LABORATORIES A,2983879519.354990,
20180530,CN,7470201,AUTOHOME ADR,12887962061.000000,Large Cap
20180530,CN,3020601,AVIC AIRCRAFT CO A,6981189879.683100,Large Cap
20180530,CN,6265001,AVIC AVIATION HIGH A,1699924509.919530,Mid Cap
