DATE,AG,AL,C,CU,J,JM,L,M,MA,NI,P,PB,PP,PVC,Y,ZC
2009/1/1,,,,,,,,,,,,,,,,
2009/1/2,-0.04245,,,,,,,,,0.64418,,-0.00441,,,,0.04784
2009/1/3,-0.04245,,,,,,,,,0.645828,,-0.03422,,,,0.027814
2009/1/4,-0.03695,1.440155,,0.712039,,,,,,0.649548,,-0.03629,,,,0.065585
2009/1/5,-0.04381,1.439382,,0.718947,,,,,,0.651557,,-0.03629,,,,0.02254
2009/1/6,-0.04391,1.447514,,0.724996,,,,,,0.650552,,-0.04429,,,,-0.01196
2009/1/7,-0.04737,1.45801,,0.743042,,,,,,0.639696,,-0.091,,,,-0.0224
2009/1/8,-0.02585,1.481961,,0.77487,,,,,,0.636432,,-0.0935,,,,-0.02164
2009/1/9,-0.02314,1.489845,,0.80221,,,,,,0.636148,,-0.08671,,,,-0.03702
2009/1/10,-0.02395,1.487437,,0.812731,,,,,,0.641273,,-0.08718,,,,-0.04139
2009/1/11,-0.02111,1.470531,,0.826014,,,,,,0.653079,,-0.08579,,,,-0.03061
2009/1/12,-0.02356,1.485659,,0.851695,,,-0.13439,,,0.654089,,-0.08071,,,,-0.00707
2009/1/13,-0.02837,1.495007,,0.875855,,,-0.13439,,,0.65737,,-0.06904,,,,-0.01217
2009/1/14,-0.02912,1.504362,,0.915842,,,-0.13439,,,0.676899,,-0.0572,,,,-0.01305
2009/1/15,-0.03092,1.534815,,0.986842,,,-0.13439,,,0.68697,,-0.06842,,,,0.001416
2009/1/16,-0.03442,1.53376,,1.056018,,,-0.13439,,,0.689069,,-0.07099,,,,-0.01544
2009/1/17,-0.02981,1.524744,,1.110615,,,-0.13439,,,0.691901,,-0.05858,,,,-0.01637
2009/1/18,-0.02981,1.512278,,1.045004,,,0.303571,,,0.695618,,-0.04683,,,,0.001653
2009/1/19,-0.02981,1.563742,,1.055062,,,0.303571,,,0.701952,,-0.05255,,,,0.004351
2009/1/20,-0.02984,1.57793,,1.118417,,,0.303571,,,0.70402,,0.034339,,,,0.051782
2009/1/21,-0.0434,1.661188,,1.180684,,,0.303571,,,0.731029,,0.035472,,,,0.068572
2009/1/22,-0.07555,1.6973,,1.225238,,,0.303571,,,0.722553,,0.038462,,,,0.102146
2009/1/23,-0.08173,1.698282,,1.254034,,,0.315476,,,0.720548,,0.039002,,,,0.110749
2009/1/24,-0.08173,1.702188,,1.274868,,,0.315476,,,0.713458,,0.042797,,,,0.209871
2009/1/25,-0.08487,1.721483,,1.381795,,,0.649254,,,0.711034,,0.044979,,,,0.165393
2009/1/26,-0.08487,1.721483,,1.381795,,,0.649254,,,0.711034,,0.044979,,,,0.193072
2009/1/27,-0.08281,1.721483,,1.388283,,,0.649254,,,0.711034,,0.044979,,,,0.267362
2009/1/28,-0.08424,1.702261,,1.403865,,,0.649254,,,0.705551,,0.061073,,,,0.267871
