DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2009/1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/1/2,,,1.567376405,0.157224578,,,,,1.793823856,,,,,,,,,,,,,,,,,,,,,,,2.09698785
2009/1/3,,,1.5672383,0.157224578,,,,,1.835663641,,,,,,,,,,,,,,,,,,,,,,,2.104883853
2009/1/4,,,1.445843421,0.157224578,,,-0.755203997,,0.723786506,,0.03177937,0.258631513,,,,,,,,,,,-0.591910349,,,,-0.617644525,,-0.755203997,,,1.589236948
2009/1/5,,,1.445798322,0.15718363,,,,,0.725397784,,,,,,,,,,,,,,,,,,,,,,,1.630654382
2009/1/6,,,1.454337385,0.158456933,,,,,0.721168177,,,,,,,,,,,,,,,,,,,,,,,1.625211434
2009/1/7,,,1.465016584,0.150592982,,,,,0.737389202,,,,,,,,,,,,,,,,,,,,,,,1.463241563
2009/1/8,,,1.488910314,0.153660339,,,,,0.769883697,,,,,,,,,,,,,,,,,,,,,,,1.514460031
2009/1/9,,,1.497147049,0.154208859,,,,,0.763313609,-0.052228726,,,,,,,,,,,,,,,,,,,,,,1.516816763
2009/1/10,,,1.494722285,0.154208859,,,,,0.779287626,,,,,,,,,,,,,,,,,,,,,,,1.528087774
2009/1/11,,,1.478597049,0.154208859,,,-0.736976028,,0.876574307,,0.004820009,0.241152787,,,,,,,,,,,-0.718629021,,,,-0.737834214,,-0.736976028,,,1.521943854
2009/1/12,,,1.493861224,0.154208859,,,-0.726128298,,0.865717016,,0.004820009,0.241152787,,,,,,,,,,,-0.742951537,,,,-0.747298683,,-0.726128298,,,1.543619664
2009/1/13,,,1.503413139,0.153520713,,,-0.723985536,,0.865413011,,0.004820009,0.241152787,,,,,,,,,,,-0.770922431,,,,-0.748639483,,-0.723985536,,,1.595432533
2009/1/14,,,1.512960082,0.151408507,,,-0.720369626,,0.878068954,,0.004820009,0.241152787,,,,,,,,,,,-0.772118289,,,,-0.757551857,,-0.720369626,,,1.596378003
2009/1/15,,,1.543590061,0.140050531,,,-0.718092942,,0.948498229,,0.004820009,0.241152787,,,,,,,,,,,-0.812453128,,,,-0.757551857,,-0.718092942,,,1.54171848
2009/1/16,,,1.54250238,0.138506623,,,-0.714610955,,1.143400516,,0.039850466,0.24327188,,,,,,,,,,,-0.802947078,,,,-0.743355154,,-0.714610955,,,1.540783432
2009/1/17,,,1.53341309,0.138630174,,,-0.714610955,,1.143400516,,0.039850466,0.24327188,,,,,,,,,,,-0.802947078,,,,-0.743355154,,-0.714610955,,,1.532662246
2009/1/18,,,1.522047641,0.138630174,,,-0.719568364,,0.539712949,-0.105061676,0.009599086,0.258472758,,,,,,,,,,,-0.788228631,,,,-0.752829472,,-0.719568364,,,1.349577745
2009/1/19,,,1.573802079,0.138630174,,,-0.717068035,,0.539712949,-0.105061676,0.009599086,0.258472758,,,,,,,,,,,-0.788250414,,,,-0.75526016,,-0.717068035,,,1.352369054
2009/1/20,,,1.588165001,0.138630174,,,-0.717331228,,0.481297698,-0.110591238,0.009599086,0.258472758,,,,,,,,,,,-0.815282739,,,,-0.75526016,,-0.717331228,,,1.370753732
2009/1/21,,,1.671838795,0.138505636,,,-0.716804843,,0.480261298,-0.110591238,0.009599086,0.258472758,,,,,,,,,,,-0.882721966,,,,-0.656133688,,-0.716804843,,,1.429770412
2009/1/22,,,1.708175745,0.139743669,,,-0.718252402,,0.478000063,-0.110591238,0.035829219,0.258472758,,,,,,,,,,,-0.882721966,,,,-0.644815799,,-0.718252402,,,1.435588909
2009/1/23,,,1.709228705,0.145803205,,,-0.719305172,,0.478000063,-0.110591238,0.035829219,0.251394251,,,,,,,,,,,,,,,-0.644815799,,-0.719305172,,,1.353995753
2009/1/24,,,1.713170493,0.145803205,,,-0.719305172,,0.478929009,-0.110591238,0.035829219,0.251394251,,,,,,,,,,,,,,,-0.644815799,,-0.719305172,,,1.340142305
2009/1/25,,,1.731203139,0.144374892,,,-0.720188902,,0.948614964,-0.110591238,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.405575027
2009/1/26,,,1.731203139,0.144374892,,,-0.720188902,,0.948614964,-0.11846543,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.405575027
2009/1/27,,,1.731203139,0.145644772,,,-0.720188902,,1.006542172,-0.11846543,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.405575027
2009/1/28,,,1.711823559,0.146940519,,,-0.720188902,,1.024073382,-0.11846543,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.400422178
2009/1/29,,,1.709038702,0.146824414,,,-0.720188902,,1.024073382,-0.11846543,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.395756888
2009/1/30,,,1.831060668,0.133186026,,,-0.720188902,,1.024073382,-0.11846543,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.798774883
2009/1/31,,,1.82745672,0.132479492,,,-0.720188902,,1.024073382,-0.11846543,0.012370874,0.224858283,,,,,,,,,,,,,,,-0.622080336,,-0.720188902,,,1.797154371
2009/2/1,,,1.82217906,0.12767957,,,-0.720152191,,1.141207464,-0.11846543,-0.048537227,0.224858283,,,,,,,,,,,,,,,-0.626219025,,-0.720152191,,,1.802064885
2009/2/2,,,1.829329448,0.127666127,,,-0.720020992,,1.147486279,-0.11846543,-0.048537227,0.224858283,,,,,,,,,,,-0.991419897,,,,-0.632773781,,-0.720020992,,,1.820246704
2009/2/3,,,1.857456634,0.129525254,,,-0.718971399,,1.132118551,-0.07841484,-0.048537227,0.224858283,,,,,,,,,,,-0.969265631,,,,-0.633173461,,-0.718971399,,,1.829341479
2009/2/4,,,1.861119346,0.129367241,,,-0.718315403,,1.12,-0.07841484,-0.048537227,0.224858283,,,,,,,,,,,-0.964909579,,,,-0.633173461,,-0.718315403,,,1.808125412
2009/2/5,,,1.883029535,0.122014676,,,-0.718184204,,1.1701427,-0.07841484,-0.048537227,0.224858283,,,,,,,,,,,-0.964909579,,,,-0.633173461,,-0.718184204,,,1.82616895
2009/2/6,,,1.891538075,0.111429696,,,-0.717265809,,1.179055982,-0.07841484,0.247842226,0.240814613,,,,,,,,,,,-0.942205306,,,,-0.63381295,,-0.717265809,,,1.841884289
2009/2/7,,,1.891538075,0.111429696,,,-0.717265809,,1.179055982,-0.07841484,0.247842226,0.240814613,,,,,,,,,,,-0.942205306,,,,-0.63381295,,-0.717265809,,,1.841884289
2009/2/8,,,1.887790756,0.111443668,,,-0.717265809,,1.179055982,-0.07841484,0.118753793,0.240814613,,,,,,,,,,,-0.942205306,,,,-0.63381295,,-0.717265809,,,1.728086121
2009/2/9,,,1.906553273,0.111443668,,,-0.716085017,,1.186125137,-0.07841484,0.118753793,0.240814613,,,,,,,,,,,-0.946165354,,,,-0.63381295,,-0.716085017,,,1.739626015
2009/2/10,,,1.920857687,0.103679019,,,-0.712149042,,1.177343578,-0.07841484,0.118753793,0.240814613,,,,,,,,,,,-0.963523562,,,,-0.634932054,,-0.712149042,,,1.729576101
2009/2/11,,,1.933693677,0.102994337,,,-0.706376279,,1.221163557,-0.079679595,0.118753793,0.240814613,,,,,,,,,,,-0.965283583,,,,-0.633333333,,-0.706376279,,,1.73777099
2009/2/12,,,1.944473077,0.101951211,,,-0.701915508,,1.225598244,-0.079679595,0.118753793,0.240814613,,,,,,,,,,,-0.950455405,,,,-0.63501199,,-0.701915508,,,1.736504507
2009/2/13,,,1.943279061,0.101947028,,,-0.695749147,,1.229506037,-0.079679595,0.238160024,0.219189586,,,,,,,,,,,-0.940335284,,,,-0.627258193,,-0.695749147,,,1.72268777
2009/2/14,,,1.948634255,0.10125482,,,-0.695749147,,1.229506037,-0.138176076,0.238160024,0.219189586,,,,,,,,,,,-0.940335284,,,,-0.627258193,,-0.695749147,,,1.711657029
2009/2/15,,,1.934637527,0.105965791,,,-0.701659591,,0.897992748,-0.138176076,0.238154388,0.063747939,,,,,,,,,,,-0.940332659,,,,-0.630067434,,-0.701659591,,,1.680635859
2009/2/16,,,1.952865872,0.105967366,,,-0.699858484,,1.034127014,-0.138176076,0.238154388,0.063747939,,,,,,,,,,,-0.940332659,,,,-0.617374058,,-0.699858484,,,1.699394142
2009/2/17,,,1.966423768,0.105967366,,,-0.698443329,,1.221246215,-0.138176076,0.238154388,0.063747939,,,,,,,,,,,-0.984093109,,,,-0.614200714,,-0.698443329,,,1.729788969
2009/2/18,,,2.110393012,0.108525425,,,-0.698057378,,1.235562367,-0.138176076,0.238154388,0.063747939,,,,,,,,,,,-0.984093109,,,,-0.614200714,,-0.698057378,,,1.693570025
2009/2/19,,,2.142477602,0.109837257,,,-0.698057378,,1.132844915,-0.138176076,0.238154388,0.063747939,,,,,,,,,,,-0.984093109,,,,-0.606426021,,-0.698057378,,,1.690253093
