DATE,AG,AL,C,CU,J,JM,L,M,MA,NI,P,PB,PP,Y,ZC,ZN
2009/1/5,,0.035967184,0.005536419,0.041836533,,,0.040560091,0.035587002,,,0.043464098,,,0.027983839,,0.042997378
2009/1/6,,0.012666164,-0.009130883,0.057610929,,,0.030446299,0.01679414,,,0.037639676,,,0.036654356,,0.055652057
2009/1/7,,0.005117566,-0.008008044,0.023465836,,,0.019724426,0.00448756,,,0.011799997,,,0.003299353,,-0.016696581
2009/1/8,,-0.034685005,0.015953667,-0.011982598,,,-0.028314329,-0.013473256,,,-0.018627055,,,-0.029082805,,-0.031062213
2009/1/9,,0.024400114,0.003965748,0.029077679,,,0.04337007,0.042112469,,,0.02673106,,,0.027059571,,0.011593941
2009/1/12,,-0.01429449,0.000518861,0.030421993,,,-0.001929327,0.013519351,,,0.006147376,,,0.012228665,,0.017647044
2009/1/13,,-0.018289927,-0.007512123,-0.054752859,,,0.0158337,-0.044740367,,,-0.031298895,,,-0.039580951,,-0.012343425
2009/1/14,,0.027557795,0.002425027,0.036247032,,,0.02857431,0.014140619,,,0.005076788,,,0.011384086,,0.043025951
2009/1/15,,-0.008420194,-0.003248549,-0.039298688,,,0.001690386,-0.012293794,,,-0.034539894,,,-0.026175758,,-0.03203208
2009/1/16,,0.011035035,0.002982602,0.037571441,,,0.016443042,0.024942704,,,0.009122945,,,0.01379541,,0.016928179
2009/1/19,,0.006410093,0.003172851,0.016690639,,,0.014123381,0.003071715,,,-0.004313131,,,-0.01367474,,-0.008433534
2009/1/20,,-0.043373358,-0.005509102,-0.006190913,,,-0.001967828,-0.015422708,,,-0.008287554,,,-0.003414297,,-0.021385182
2009/1/21,,-0.012500264,0.001057944,-0.02068315,,,-0.019144786,-0.004797538,,,0.005774082,,,0.003605856,,-0.017391988
2009/1/22,,-0.002461362,0.000915797,-0.028406269,,,0.010148693,0.010467071,,,0.002736083,,,-0.000684278,,-0.038582333
2009/1/23,,0.020810778,0.018280792,-0.023018695,,,0.031025147,0.017290448,,,-0.008416701,,,-0.004645866,,0.008476298
2009/2/2,,-0.015709571,0.00054442,-0.024335297,,,0.01513815,-0.001696306,,,-0.037658206,,,-0.027615764,,-0.028159403
2009/2/3,,0.026797288,0.007466255,0.051116246,,,-0.001162786,0.005965013,,,0.030728423,,,0.026501942,,0.038367941
2009/2/4,,-0.004073829,-0.000987429,0.021892576,,,0.028918076,-0.009249708,,,0.016007243,,,0.009711545,,0.003909651
2009/2/5,,0.001324155,-0.005226703,0.008460774,,,-0.000684287,-0.000528061,,,-0.012838798,,,-0.005786615,,-0.012391795
2009/2/6,,0.010548683,0.003497557,0.048178215,,,0.006379017,0.03709639,,,0.022162113,,,0.017920881,,0.024271284
2009/2/9,,0.030553406,0.001962054,0.030915523,,,0.006882373,0.010125418,,,0.047615257,,,0.043184214,,0.039381737
2009/2/10,,-0.00893557,0.003661028,0.001642387,,,-0.016860535,-0.001200266,,,0.001569378,,,0.001021049,,-0.017995333
2009/2/11,,-0.027481435,0.014911866,-0.056274021,,,-0.046064445,-0.021692368,,,-0.034247641,,,-0.034255791,,-0.042364523
2009/2/12,,0.025220877,-0.000718304,0.014714716,,,-0.001414076,0.013862561,,,0.002922063,,,0.004522334,,0.021969794
2009/2/13,,-0.004072752,0.001099201,0.002992752,,,-0.003006663,0.003776871,,,0.019436861,,,0.012460532,,-0.004077304
2009/2/16,,-0.008443687,0.009892903,-0.03284426,,,-0.037676791,-0.042954194,,,-0.001399408,,,-0.013545538,,-0.01908059
2009/2/17,,0.015777581,-0.000536625,-0.001710905,,,-0.008821908,-0.014908948,,,-0.011741343,,,-0.006563704,,0.011573813
2009/2/18,,-0.009566751,-0.009178614,-0.033643546,,,-0.039549,-0.041118473,,,-0.040522352,,,-0.04552955,,-0.02243507
2009/2/19,,0.000325373,0.004836124,0.00945544,,,-0.005899685,0.006593812,,,-0.028381941,,,-0.018024387,,0.004232462
2009/2/20,,-0.030533417,0.008455342,-0.00624346,,,-0.00764973,-0.003143211,,,0.018606545,,,0.011676766,,-0.007021688
