DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
20090105,1.009166174,,1.036395147,1.005496538,,1.003875969,0.995337007,,1.040687919,,,,,,1.046186144,1.035901573,,,1.022633089,1.043582567,,,0.98843485,,,,1.045164234,,1.017531557,1.02800659,,1.042490119
20090106,1.013477879,,1.011705686,0.970354796,,0.991634492,0.997444634,,1.057638049,,,,,,1.034782609,1.015965732,,,1.036471322,1.040229885,,,1.049921997,,,,1.059799214,,1.011716058,1.036858974,,1.056398104
20090107,0.99681989,,1.005785124,1.01635881,,0.992212849,1.011955594,,1,,,,,,1.020685197,1.004599463,,,1.006917293,1.008103131,,,1.037518574,,,,1,,0.988760218,1.00309119,,0.981606101
20090108,0.962296984,,0.964256368,0.984863828,,1.018312623,1.002109705,,0.981707317,,,,,,0.969601013,0.987409386,,,0.974611708,0.980270369,,,0.988542786,,,,0.990939044,,0.995866345,0.970724191,,0.967093236
20090109,1.016274864,,1.026842778,1.011634829,,1.004495825,1.002947368,,1.059006211,,,,,,1.044415415,1.042890263,,,1.023904382,1.030190086,,,0.982977182,,,,1.030756442,,0.995503286,1.027301587,,1.015595463
20090112,1.034697509,,0.985477178,0.994008773,,0.999360614,0.989924433,,1.031524927,,,,,,0.995622264,1.013708781,,,1.029631847,1.005426918,,,0.998526161,,,,0.995564516,,1.039263377,1.012360939,,1.017682643
20090113,0.969332187,,0.984,0.964374125,,0.992322457,0.993638677,,0.937100213,,,,,,1.013819095,0.95504386,,,0.952034884,0.966534725,,,0.998892989,,,,0.988254354,,0.985957874,0.96031746,,0.98948331
20090114,1.018036665,,1.029952931,1.009486607,,1.002578981,1.002560819,,1.050436102,,,,,,1.029739777,1.014542671,,,1.026259542,1.006329114,,,1.032508312,,,,1.046721311,,1.03221431,1.011760966,,1.043900185
20090115,0.983735115,,0.993768176,0.981094527,,0.996141479,0.998297148,,0.952707581,,,,,,1.004211793,0.987929083,,,0.980958048,0.96263411,,,1.015384615,,,,0.974158183,,0.992115637,0.973609802,,0.965914121
20090116,1.014171833,,1.002926421,1.016508902,,1.002582311,1.003411514,,1.040924593,,,,,,1.017375674,1.026727759,,,1.010919017,1.008070715,,,0.99119098,,,,1.022106109,,1.003311258,1.014520813,,1.016498625
20090119,1.008442504,,1.007919967,1.02056427,,1.00386349,0.999150021,,1.016745541,,,,,,1.014134276,1.002975084,,,0.98829883,0.995806329,,,1.000355492,,,,1.000786473,,1.002640264,0.986005089,,0.991433724
20090120,0.988452656,,0.953680728,0.986584836,,0.994227069,0.997873245,,0.995345507,,,,,,0.9970964,0.984797924,,,0.995749848,0.991577335,,,1.019189765,,,,1.027111984,,0.975971034,0.996774194,,0.977262392
20090121,0.989778037,,0.989158716,1.026314341,,1,0.997868713,,0.979136691,,,,,,0.977868375,0.995481928,,,1.004268293,1.006177606,,,0.988842399,,,,0.994644223,,1.002360877,1.003559871,,0.983713355
20090122,1.000590145,,0.997369575,1.00096551,,1.000645161,0.996155489,,0.970609846,,,,,,1.010125074,1.0102118,,,1.000910747,1.002302379,,,1.012341326,,,,0.986538462,,1.004374159,0.998710094,,0.962157048
20090123,1.004718372,,1.022417582,1.004822893,,1.018052869,1.006432247,,0.977668433,,,,,,1.035377358,1.017970797,,,1.005459509,0.991577335,,,1.020550331,,,,0.986354776,,1.054941374,0.995479496,,1.008357915
20090202,0.991194599,,0.983662941,1.058396885,,0.999366688,1.007669365,,0.974061169,,,,,,1.015375854,0.998161089,,,0.976168929,0.95984556,,,1.033447099,,,,0.990513834,,1.016513179,0.971132014,,0.971721112
20090203,1.020136216,,1.027534965,0.994205381,,1.008238276,1.006765328,,1.052861685,,,,,,0.998878295,1.005526898,,,1.049752781,1.03378922,,,1.006274769,,,,1.040303272,,1.019368947,1.029392118,,1.039136979
20090204,1.005515239,,0.994895789,0.997668643,,1,0.995800084,,1.023782559,,,,,,1.029758563,0.990839135,,,1.012658228,1.015564202,,,1.014768625,,,,1.028385117,,1.001532332,1.00908501,,1.003862868
20090205,1.006639723,,1.001710133,1.009652019,,0.993714645,1.000421763,,1.007743363,,,,,,0.999454744,0.998150888,,,0.986046512,0.986206897,,,0.989003881,,,,0.981723238,,0.999694002,0.994212219,,0.985569986
20090206,1.012618297,,1.009816475,1.007849057,,1.002530044,1.012647555,,1.047200878,,,,,,1.006546645,1.041126343,,,1.014445755,1.023698524,,,1.015042511,,,,1.026215805,,1.032445669,1.020375162,,1.023914104
20090209,1.011611442,,1.032544379,0.990115321,,1.00126183,1.012905912,,1.031097135,,,,,,1.007588076,1.009964413,,,1.048823017,1.048956357,,,1.011597938,,,,1.020362829,,1.012748295,1.043106181,,1.04099142
20090210,0.999720045,,0.988129349,0.988201482,,1.001890359,0.997533909,,1.005421891,,,,,,0.982786444,0.996828753,,,1.016902189,1.000723589,,,1.011146497,,,,0.999274311,,1.007318501,1.000911577,,0.984432234
20090211,0.985718286,,0.975973488,1.018317261,,1.008805031,0.986814998,,0.942366026,,,,,,0.952928298,0.981972428,,,0.98147139,0.964569776,,,0.97511811,,,,0.975308642,,0.984016274,0.964177292,,0.956744186
20090212,1.011079545,,1.025891341,1.029862712,,0.998753117,0.998329854,,1.014663805,,,,,,0.998851235,1.014038877,,,1.006662965,1.002998501,,,1.007428941,,,,0.999255398,,1.033372711,1.005037783,,1.022362664
20090213,0.998033155,,0.994621432,1.002627226,,0.99937578,1.002927645,,1.002467395,,,,,,0.996549741,1.004259851,,,1.017098731,1.020553064,,,0.982045527,,,,1.030923994,,1.023149471,1.013471178,,0.994769377
20090216,0.97972973,,0.990848586,0.997282609,,1.060587133,1.003336113,,0.963080169,,,,,,0.960761685,0.953340403,,,0.969631236,0.998169169,,,0.985961476,,,,0.973617636,,0.996648045,0.986089645,,0.979923518
20090217,0.997126437,,1.016792611,1.025836902,,0.994699647,1.006234414,,1,,,,,,0.990990991,0.985910271,,,0.990771812,0.986060161,,,0.997350993,,,,1.030809206,,1.017376682,0.995297806,,1.012682927
20090218,0.958213256,,0.988852188,1.013091116,,0.987566607,0.988434531,,0.965680905,,,,,,0.961212121,0.958254983,,,0.956534011,0.9609375,,,0.964807437,,,,0.961109111,,0.980716253,0.955275591,,0.975915222
20090219,1.003909774,,0.999164927,1.001966384,,1.005395683,0.972419557,,1.009451796,,,,,,0.994325347,1.010596546,,,0.974033638,0.970576849,,,0.995182381,,,,0.951292619,,0.995786517,0.97889878,,1.004442251
20090220,1.021869383,,0.967822817,1.001822345,,1.007155635,1.018908466,,0.994007491,,,,,,0.9917565,0.995728155,,,1.023932142,1.020741923,,,1.015560166,,,,1.00945254,,1.012411848,1.011788481,,0.992628993
20090223,1.024919378,,1,1.009794776,,0.999407934,1.006326445,,1.027882442,,,,,,1.051150895,1.021060842,,,1.023668639,1.021101993,,,1.020429009,,,,1.023019899,,1.024797994,1.010985353,,1.012871287
20090224,0.993421053,,0.989637306,1.001385681,,0.998815166,0.992455993,,0.973240469,,,,,,0.98783455,0.974025974,,,0.966763006,0.973210869,,,0.986986987,,,,0.960335622,,0.996737357,0.974646032,,0.987781036
20090225,1.002015549,,1.02617801,0.966928044,,0.997034401,1.004222973,,1.035781544,,,,,,1.028940887,0.99372549,,,1.011061286,1.01612269,,,1.004732928,,,,1.021445592,,1.000272777,1.021621622,,1.018307768
20090226,0.99454023,,0.996598639,0.993321567,,0.996430696,0.998317914,,1.011636364,,,,,,0.985038899,0.986977111,,,0.992607924,0.996130031,,,0.978129206,,,,1.035381026,,1.017998364,0.994708995,,0.996598639
20090227,0.979196764,,0.994027304,0.991595832,,0.994626866,1.00210615,,1.001078361,,,,,,0.989064399,0.958816473,,,0.993744415,0.993395493,,,0.980736154,,,,0.938790837,,0.998928476,0.986037234,,0.992686494
20090302,1.000590145,,1.002145923,1.013705928,,1.00180072,0.987810004,,0.992100539,,,,,,0.979115479,1.020433695,,,1.001199041,1.00117325,,,1.005612066,,,,0.9836,,0.991418611,1.002697235,,1.016699411
20090303,0.998525509,,1,0.974439826,,1.008388256,1.001276596,,1.014838943,,,,,,0.971141782,0.993461381,,,1.006586826,0.9890625,,,1,,,,1.000406669,,0.980795239,0.994283793,,0.996618357
20090304,1.015357354,,1.004710921,0.987840753,,1.002970885,1.001274968,,1.042796006,,,,,,1.015503876,1.026737968,,,1.002676978,1.011058452,,,1.001743983,,,,1.022764228,,1.00551572,1.010145418,,1.021812894
20090305,0.995927865,,1.00341006,1.005062537,,0.999407583,0.999575552,,1.008891929,,,,,,0.968193384,0.989182692,,,0.992583803,0.9953125,,,0.996169916,,,,0.996025437,,1.003291278,0.992634751,,1.005218216
20090306,1.00671729,,0.997451147,1.02582716,,0.999407232,0.999575372,,1.009830508,,,,,,1.013140604,1.004860267,,,1.016736402,1.012166405,,,0.999300944,,,,0.984038308,,1.002186987,1.009443508,,1.008494573
20090309,1.002320859,,0.984241908,0.991960718,,1.003558719,1.005097706,,0.970459886,,,,,,1.017509728,1.00241838,,,0.9776602,1.013958899,,,0.999650227,,,,0.98134631,,0.982269504,1.009689275,,0.976602714
20090310,1.002315485,,1.002596279,0.97825876,,0.999408983,1.002535926,,1.010377032,,,,,,1.024219248,1.016083635,,,1.008719182,1.021414914,,,1.011896431,,,,1.011570248,,1.015551236,1.017868961,,1.016770484
20090311,0.988160554,,0.997842037,0.984671098,,0.998225902,1.003794266,,0.993837727,,,,,,0.981331674,0.98971112,,,0.99195231,0.983152377,,,1.004149378,,,,0.991830065,,1.023243095,0.983420026,,0.996229972
20090312,1.007597896,,1.009083045,1.016625523,,0.997630332,0.998320034,,0.990699277,,,,,,1.029803424,1.004398241,,,0.996694712,0.9843869,,,0.998278237,,,,0.985584843,,1.005344735,0.988099174,,1.003784295
20090313,1.003480278,,1.008572653,1.004757421,,1.004750594,1.001262095,,1.002433936,,,,,,0.996305419,1.017914013,,,0.999397046,0.99729207,,,1.005864091,,,,1.004178855,,1.015151515,0.99899632,,0.996229972
20090316,1.015317919,,1.010624734,1.004340321,,1.013593381,1.001680672,,1.031564343,,,,,,1.001854141,1.014470082,,,1.002413273,1.006594259,,,1.004115226,,,,1.02372035,,1.011259492,1.002679169,,1.014191107
20090317,0.999715343,,0.998738436,0.992044394,,0.997667638,1.007130872,,1.023537323,,,,,,1.019740901,1.009637625,,,1.008125188,1.01194605,,,1.015027322,,,,1.008130081,,0.995339202,1.011022044,,1.000466418
20090318,0.995728929,,1.011368421,0.99287164,,0.999415546,1,,1.004599212,,,,,,1.028433152,0.996563574,,,0.997313433,0.998476771,,,1.01615074,,,,1.002419355,,0.988293444,1.001982161,,1.0004662
20090319,1.006005147,,1.028309742,1.023483073,,1.004678363,1.002915452,,1.013407456,,,,,,1.007058824,1.023754789,,,1.020053876,1.019450801,,,1.018874172,,,,1.017699115,,1.010529087,1.027365645,,1.01304753
20090320,1.006537806,,1.015384615,1.024990257,,0.995343423,1.005398671,,1.049370765,,,,,,1.030373832,1.013473054,,,1.00850939,1.010849233,,,1.034124147,,,,1.044664032,,0.993487887,1.018613607,,1.033118675
20090323,1.036147981,,1.033492823,1.004847678,,1.002339181,1.011978521,,1.030442804,,,,,,1.03968254,1.043205318,,,1.027931335,1.027017024,,,1.025769956,,,,1.057132047,,1,1.02331443,,1.033392698
20090324,0.983374216,,0.981481481,0.978858251,,0.998833139,0.995102041,,0.980304387,,,,,,0.987459106,0.97840708,,,0.979620719,0.976576577,,,0.977328431,,,,0.977451682,,1.002884111,0.981219212,,0.983627747
20090325,0.987804878,,1.002751572,0.98763046,,0.993574766,1.006152584,,0.98934551,,,,,,0.991717283,0.989507959,,,0.985842242,0.990774908,,,0.989655172,,,,1.002196997,,0.996601307,0.988076561,,0.988173456
20090326,1.005050505,,1.021560172,1.009540117,,1.002351558,1.006522625,,1.041846154,,,,,,1.039532294,1.004753199,,,1.00996483,1.024953445,,,1.015204308,,,,1.04749726,,0.986883526,1.017783423,,1.033687943
20090327,0.984924623,,0.983883346,0.996462321,,0.995894428,0.998784933,,0.981098641,,,,,,0.993036958,0.97125182,,,0.987231573,0.98619186,,,1.018408736,,,,0.955005232,,1.002923977,0.988143526,,0.99271012
20090330,0.995748299,,0.991809672,0.99285089,,0.997644287,1.00486618,,0.997591812,,,,,,0.978425027,0.985762458,,,0.990005879,0.991525424,,,1.01439951,,0.99522606,,0.989773557,,1.02199841,0.988948532,,0.995680346
